Sector,RMSE_count,RMSE_mean,RMSE_median,RMSE_std,RMSE_min,RMSE_max,MAE_count,MAE_mean,MAE_median,MAE_std,MAE_min,MAE_max,MAPE (%)_count,MAPE (%)_mean,MAPE (%)_median,MAPE (%)_std,MAPE (%)_min,MAPE (%)_max,sMAPE (%)_count,sMAPE (%)_mean,sMAPE (%)_median,sMAPE (%)_std,sMAPE (%)_min,sMAPE (%)_max,Accuracy (%)_count,Accuracy (%)_mean,Accuracy (%)_median,Accuracy (%)_std,Accuracy (%)_min,Accuracy (%)_max
Communication Services,4,2687.066717734177,1692.2149928441545,3105.940889687245,364.72111690109654,6999.115768347302,4,2508.6173777750937,1615.8153609262154,2901.1364210994825,292.5487887274688,6510.290000520476,4,15.56575,12.472249999999999,10.242975059522502,7.7118,29.6067,4,17.6811,13.51975,12.796973794091583,8.1883,35.4966,4,84.43424999999999,87.52775,10.242975059522502,70.3933,92.2882
Consumer Discretionary,12,3380.5967111549994,1332.6685232053933,3350.4279928123365,278.09370314450956,9246.698629938206,12,2981.6198278098673,1226.0268472046926,2887.97064455702,236.3618763166844,7550.0244039568015,12,25.939825,24.22285,10.946518858699495,12.3607,48.2394,12,26.716258333333332,23.891,13.672931627021212,10.9575,64.401,12,74.060175,75.77715,10.946518858699493,51.7606,87.6393
Consumer Staples,19,4101.962323924876,652.8169964842207,6489.472643957229,239.94949187944457,24490.24100545303,19,3714.7693071435388,579.2503245221161,5798.273790586646,212.11903009151274,21519.825698775014,19,15.240063157894737,10.8527,10.858739725892612,5.3365,45.5643,19,17.276115789473682,11.5554,14.269285077133844,5.122,60.7141,19,84.75993684210526,89.1473,10.858739725892613,54.4357,94.6635
Energy,9,9699.608087884353,3025.0769122502707,13444.828906742858,742.9855929621632,38509.929609734434,9,8994.8186951283,2734.7806867207014,12461.403410917083,680.9969175079025,35693.20642089813,9,44.44118888888889,44.3062,13.072786629908371,24.4893,72.1554,9,60.502500000000005,58.1133,24.163732262783824,28.4428,115.3698,9,55.55881111111111,55.6938,13.072786629908371,27.8446,75.5107
Financial ,22,4815.928159558684,1778.3685103279909,6627.72201952281,107.09912217961921,24658.79660307996,22,3835.5260677999813,1474.4135352370063,5275.293346776702,98.0994971553601,19152.154471078353,22,49.47428636363637,27.805,111.48135039355577,7.2474,546.6132,22,30.35358181818182,30.3562,14.160146455276928,7.4496,58.6883,22,50.52571363636363,72.195,111.48135039355577,-446.6132,92.7526
Healthcare,18,4342.462270638202,1966.2846047339428,4983.059338139573,293.9508488683707,19159.17486112646,18,3723.329775056418,1760.8008946989617,4230.983262026437,287.51692153666335,16839.292957136055,18,19.205605555555554,17.6769,10.244466088489073,3.6724,37.8471,18,21.052033333333334,18.38985,12.81196285191397,3.5806,48.9465,18,80.79439444444444,82.32310000000001,10.24446608848907,62.1529,96.3276
Industrials,32,1588.5806769494932,1018.4634477735515,1470.8214726678748,134.85225001977335,4683.7733464384255,32,1406.4911066981874,874.3092501937963,1303.1079779720692,99.23647013444649,4101.934360655596,32,18.6697,18.23815,11.24837220630669,4.7396,66.9271,32,21.553628125,20.645400000000002,17.473195289711875,4.9166,105.1005,32,81.3303,81.76185000000001,11.248372206306696,33.0729,95.2604
Information Technology,14,5205.989168446572,2120.655534473082,8020.931181776741,296.9002009714061,28373.983581525295,14,4616.473437306647,1884.5103317077137,7379.791173965493,266.2108459826927,26656.212340505,14,25.014557142857143,24.3767,13.35169716994892,7.432,56.5569,14,26.88842857142857,23.38605,17.83891157422355,7.6863,81.195,14,74.98544285714286,75.6233,13.35169716994892,43.4431,92.568
Materials,9,1118.031393313624,842.4445915785151,1015.1417084103522,336.5161324802833,3624.1838767864724,9,996.1753422321124,737.6220967612102,938.0460127515464,299.52237351724466,3303.600826045953,9,21.091388888888886,17.8681,14.861644426967398,8.0035,52.4495,9,25.39533333333333,20.8056,21.254589087653518,8.1467,72.5225,9,78.90861111111111,82.1319,14.861644426967397,47.5505,91.9965
Real Estate,1,499.44323118299656,499.44323118299656,,499.44323118299656,499.44323118299656,1,343.7335601499063,343.7335601499063,,343.7335601499063,343.7335601499063,1,14.0169,14.0169,,14.0169,14.0169,1,15.3765,15.3765,,15.3765,15.3765,1,85.9831,85.9831,,85.9831,85.9831
Utilities,16,965.0667684125895,681.0210945629735,701.6243627173926,244.72308405665515,2963.503005715318,16,841.0995257796542,591.2146183752347,668.5446337606785,195.8735805193043,2823.3604206288705,16,20.5709625,19.3276,10.395151802378837,10.4495,54.697,16,22.16275625,22.0079,8.219572191297935,11.195,41.7558,16,79.4290375,80.67240000000001,10.39515180237884,45.303,89.5505
