,count,mean,median,std,min,max
RMSE,156.0,3479.2780020523574,1370.5778594570788,6029.404401537253,66.05972038841347,40126.33274240295
MAE,156.0,3035.0594061394877,1117.8471183572462,5371.772926094486,55.53839288169138,38651.50316105013
MAPE (%),156.0,24.146816666666666,19.56775,33.012111904204495,2.8606,404.7475
sMAPE (%),156.0,23.836641025641025,21.10735,14.482772469567896,2.9121,91.6552
Accuracy (%),156.0,75.85318333333332,80.43225000000001,33.012111904204495,-304.7475,97.1394
