Sector,RMSE_count,RMSE_mean,RMSE_median,RMSE_std,RMSE_min,RMSE_max,MAE_count,MAE_mean,MAE_median,MAE_std,MAE_min,MAE_max,MAPE (%)_count,MAPE (%)_mean,MAPE (%)_median,MAPE (%)_std,MAPE (%)_min,MAPE (%)_max,sMAPE (%)_count,sMAPE (%)_mean,sMAPE (%)_median,sMAPE (%)_std,sMAPE (%)_min,sMAPE (%)_max,Accuracy (%)_count,Accuracy (%)_mean,Accuracy (%)_median,Accuracy (%)_std,Accuracy (%)_min,Accuracy (%)_max
Communication Services,4,2963.1394565289866,2012.8942456253142,3420.7386564162243,281.0219155171758,7545.747419348143,4,2791.770124501394,1940.3756297770678,3234.151016551561,209.4424313243328,7076.886807127108,4,15.505700000000001,12.106300000000001,11.688208242498078,5.5405,32.2697,4,17.70495,13.0305,14.891477505718946,5.5142,39.2446,4,84.49430000000001,87.8937,11.688208242498074,67.7303,94.4595
Consumer Discretionary,12,2644.8417140029856,1390.4531921777623,2516.9043272658273,270.1557450534573,7246.350410966053,12,2380.664480852823,1300.7127045396649,2322.589945913204,217.67879098174586,6068.595411038304,12,23.197616666666665,21.87885,11.592489096105863,7.1609,46.257,12,24.355883333333335,24.74335,14.09997449932145,6.8177,61.837,12,76.80238333333334,78.12115,11.592489096105863,53.743,92.8391
Consumer Staples,19,4295.602425408343,656.8623848846091,6387.728725287724,231.67270515038973,22908.9787685981,19,3839.227113631321,582.4439610023583,5658.702572576984,199.38634860273893,19588.734038053328,19,15.51761052631579,11.6163,11.568722541735575,4.1934,51.5109,19,17.83996842105263,11.4123,16.084249541331925,4.023,71.7386,19,84.48238947368422,88.3837,11.568722541735573,48.4891,95.8066
Energy,9,9946.232123116188,3247.4111798251133,13930.946497165214,743.6487059208594,40163.81560137187,9,9235.290568193534,2914.7717510159455,12961.552198794989,681.6770944401733,37377.69341020132,9,44.643299999999996,43.8655,13.419808806946547,24.5146,73.8751,9,61.134988888888884,57.3098,25.284135219413987,28.4761,120.148,9,55.356700000000004,56.1345,13.419808806946545,26.1249,75.4854
Financial ,22,4762.596628138889,1787.036487767077,6624.757352760336,188.2541553429057,24857.151819157076,22,3796.029205297278,1485.1733790192188,5291.389714794699,169.32712322084558,19369.153311328297,22,49.41913636363636,26.1828,111.36484046744113,10.4433,546.381,22,30.141077272727273,28.82685,13.05297138107539,11.1459,58.4943,22,50.58086363636364,73.8172,111.36484046744113,-446.381,89.5567
Healthcare,18,4183.483505955731,1874.9083781975362,5245.389696064227,286.95036045581526,20004.40583502807,18,3541.543065097134,1677.989025325664,4467.162374413996,266.9029764145789,17696.0613459543,18,16.941483333333334,14.315349999999999,10.687351221241702,5.7679,41.1617,18,19.20288888888889,15.91755,13.876552057672003,5.7397,54.0424,18,83.05851666666666,85.68465,10.687351221241704,58.8383,94.2321
Industrials,32,1693.396454052188,1016.2474186076674,1695.9746314968502,217.36346492198228,6184.451306584515,32,1491.7781723110943,885.9951084057843,1481.5635401433776,188.05350871172448,5456.358924711969,32,19.831853125,18.896700000000003,11.868459941101808,4.9233,64.2861,32,22.613209375,21.252699999999997,16.656662539721676,4.8661,99.6949,32,80.168146875,81.10329999999999,11.868459941101806,35.7139,95.0767
Information Technology,14,4394.418362824933,2135.1812699771117,6973.885073389673,449.4388665992285,27512.848701893316,14,3971.6180299353655,1957.3076406932835,6634.954068466522,398.8309622786708,26138.304747689926,14,23.74917142857143,22.14805,13.364305997085532,7.4652,50.1803,14,24.964642857142856,21.353099999999998,15.918105290551981,7.6986,68.8433,14,76.25082857142857,77.85194999999999,13.364305997085527,49.8197,92.5348
Materials,9,1224.0354004901021,904.7284650367034,957.7995342947161,387.9555345203884,3609.2496253693967,9,1123.5734007458507,820.1711390370264,885.5995909898888,334.44888299456306,3287.8846695495245,9,23.746244444444446,21.1016,12.797169977587927,13.1716,52.3588,9,28.123788888888885,23.4228,19.20058250193496,14.3662,72.3778,9,76.25375555555556,78.8984,12.797169977587927,47.6412,86.8284
Real Estate,1,490.57745736334425,490.57745736334425,,490.57745736334425,490.57745736334425,1,375.2308764971052,375.2308764971052,,375.2308764971052,375.2308764971052,1,16.1711,16.1711,,16.1711,16.1711,1,16.9087,16.9087,,16.9087,16.9087,1,83.8289,83.8289,,83.8289,83.8289
Utilities,16,1050.2541167113677,799.6491962492244,940.9515736534742,277.7912291755538,4174.283398062408,16,922.5642263183059,708.831558609478,911.5910615175281,223.6300660640602,4006.9499924205425,16,22.4177125,19.0139,15.472559663045416,9.5501,76.6834,16,23.52611875,21.799599999999998,10.704276066209475,10.1753,53.9338,16,77.5822875,80.9861,15.472559663045416,23.3166,90.4499
