,count,mean,median,std,min,max
RMSE,156.0,3515.145590907877,1249.6317335830067,5899.634931969587,175.85567710848107,37848.229218162356
MAE,156.0,3059.072482489592,1069.3333951181542,5237.122245069067,150.244326856555,36359.6012146466
MAPE (%),156.0,24.582894230769227,19.51745,33.45774192779215,2.9262,406.5655
sMAPE (%),156.0,24.03097564102564,20.969549999999998,13.904169632105708,2.8726,86.2593
Accuracy (%),156.0,75.41710576923076,80.48255,33.45774192779215,-306.5655,97.0738
