ticker
AAPL
ABT
ADM
ADP
ADSK
AEE
AEP
AIG
ALL
AMAT
AMD
AMGN
APD
AVY
AXP
BA
BAC
BAX
BBWI
BDX
BEN
BK
BLL
BMY
BSX
C
CAG
CAT
CI
CL
CLX
CMA
CMI
CNP
COP
COST
CPB
CSCO
CSX
CVS
CVX
D
DE
DHR
DIS
DOV
DTE
DUK
ECL
EIX
EMN
EMR
ES
ETN
ETR
EXC
F
FDX
FITB
GD
GE
GIS
GL
GLW
GPC
GWW
HAL
HAS
HD
HES
HIG
HON
HPQ
HSY
HUM
IBM
IFF
INTC
IP
IPG
ITW
JNJ
JPM
K
KEY
KMB
KO
KR
L
LIN
LLY
LMT
LOW
LUV
MAS
MCD
MDT
MMC
MMM
MO
MRK
MRO
MS
MSFT
MU
NEE
NEM
NKE
NOC
NSC
NTRS
NUE
OMC
ORCL
OXY
PCAR
PEG
PEP
PFE
PG
PH
PHM
PKI
PNC
PNW
PPG
PPL
QCOM
ROK
RTX
SHW
SLB
SNA
SO
STT
SWK
SYY
TAP
TGT
TJX
TROW
TXN
TXT
UNH
UNM
UNP
VZ
WBA
WFC
WM
WMB
WMT
WY
XEL
XOM
