Sector,Metric,count,mean,median,std,min,max,trimmed_mean_5%
Communication Services,RMSE,7,3764.763275015673,1117.3056905409114,5708.318991345146,263.83286369115046,15828.257888340457,3764.763275015673
Communication Services,MAE,7,3602.9046596339645,849.5735724672833,5715.97243029868,203.1593160761856,15742.399522750211,3602.9046596339645
Communication Services,NRMSE,7,0.18202772912825393,0.1190875968868248,0.1743163106474946,0.03329873310308493,0.521524147886012,0.18202772912825393
Communication Services,MAPE (%),7,16.79613398563007,9.560435970476412,17.52336247985221,2.478999821504213,51.26451686822189,16.79613398563007
Communication Services,MdAPE (%),7,16.8457392192246,7.001063186535976,18.964525930471954,1.9120661683868123,53.52391887103837,16.8457392192246
Communication Services,sMAPE (%),7,16.17689364370064,8.87386854020115,14.982067897972135,2.5329470737680984,40.680154978011686,16.17689364370064
Communication Services,Accuracy (%),7,83.20386601436994,90.43956402952358,17.523362479852207,48.73548313177811,97.52100017849578,83.20386601436994
Consumer Discretionary,RMSE,23,3507.0588339751184,1231.40924289439,7511.884342962251,298.7584817035224,36912.79630928414,2069.0856376400034
Consumer Discretionary,MAE,23,3068.3727291968594,993.0114941349835,6393.327326174643,245.35097904997298,31386.795329710785,1854.3060220365242
Consumer Discretionary,NRMSE,23,0.25789448571942186,0.21225125297613118,0.1921233058155479,0.06388044808564386,0.9572684375725529,0.23382972789945278
Consumer Discretionary,MAPE (%),23,23.341191954291848,18.165054740128696,20.079390604276956,5.0275535663497815,97.74605336604974,20.67018133411014
Consumer Discretionary,MdAPE (%),23,22.343740413168387,16.341082020676115,21.062953977884987,4.565541465394884,98.77488957860538,19.55074278375584
Consumer Discretionary,sMAPE (%),23,30.343916808405222,17.82413052344095,39.49981563264227,5.216084036149801,191.40241123689725,23.871028158108242
Consumer Discretionary,Accuracy (%),23,76.65880804570816,81.8349452598713,20.079390604276956,2.253946633950264,94.97244643365022,79.32981866588986
Consumer Staples,RMSE,22,3080.5300401984596,649.2178490292268,5654.110939023471,126.40057859311278,23501.54447208552,2207.185791684374
Consumer Staples,MAE,22,2758.5231884915825,584.7328875942483,5020.194374500482,106.910364291406,20777.78406614461,1990.14078581894
Consumer Staples,NRMSE,22,0.1400402751890013,0.11735984922543227,0.07612678674882423,0.050825256182463724,0.36344768197874133,0.1333306557998412
Consumer Staples,MAPE (%),22,12.19268415924705,9.899732510514404,7.2415659700716,4.336310041171794,35.64974391165522,11.412649877530402
Consumer Staples,MdAPE (%),22,12.243817624598222,10.475940649169058,7.759021166428084,4.460753035500282,36.966012653474564,11.396861102609304
Consumer Staples,sMAPE (%),22,13.412180361960354,10.475435614457346,8.983287159461144,4.301577461907136,43.70864602294661,12.3528872239137
Consumer Staples,Accuracy (%),22,87.80731584075295,90.10026748948559,7.2415659700716,64.35025608834478,95.6636899588282,88.58735012246959
Energy,RMSE,12,7378.868288053294,2885.2376263592923,9563.555373138068,616.5215176268582,30975.6844649017,7378.868288053294
Energy,MAE,12,6867.489749872715,2698.548608708259,8971.839934530011,518.7713724312882,29068.99302741788,6867.489749872714
Energy,NRMSE,12,0.4240245744401481,0.3974377798869587,0.14507395386531877,0.267123707810597,0.766915114064856,0.4240245744401481
Energy,MAPE (%),12,37.85468104063018,34.393448712992615,14.33603070625396,20.39736833116909,72.39711684403423,37.854681040630176
Energy,MdAPE (%),12,38.87496078089264,33.13631611168357,15.042247664544231,19.49177386424374,74.21131782722247,38.87496078089265
Energy,sMAPE (%),12,49.6013545048262,42.16262493500105,25.118929038655622,23.462220264069376,115.1868711081234,49.60135450482621
Energy,Accuracy (%),12,62.145318959369824,65.60655128700739,14.33603070625396,27.60288315596577,79.60263166883091,62.145318959369824
Financial ,RMSE,38,4222.29837091308,1855.6678729438604,5939.062322400781,141.9505040952128,27152.428591731375,3698.6933055241784
Financial ,MAE,38,3569.572625808463,1585.0699637159732,5050.779306463038,121.34814967354862,22986.826064109486,3125.9884879705155
Financial ,NRMSE,38,0.3458075774122182,0.2953209688965671,0.17742648279842305,0.10701889473902618,0.9464065917589392,0.3357572904212868
Financial ,MAPE (%),38,27.363912048279996,28.19175457413836,10.890744126245492,8.769078970110694,53.33980910958582,27.15888249319287
