,count,mean,median,std,min,max
RMSE,156.0,4502.8906540724265,1593.2150662204908,7642.608815135192,191.43077544930833,46126.94793852278
MAE,156.0,3919.968485774756,1401.8381543404062,6644.939422235415,159.13634119000673,39935.72752431925
MAPE (%),156.0,29.157351923076924,25.13405,31.074780967886564,4.4888,378.5191
sMAPE (%),156.0,31.434117948717947,28.11075,17.664966617016884,4.6524,105.1916
Accuracy (%),156.0,70.84264807692307,74.86595,31.074780967886564,-278.5191,95.5112
