Sector,RMSE_count,RMSE_mean,RMSE_median,RMSE_std,RMSE_min,RMSE_max,MAE_count,MAE_mean,MAE_median,MAE_std,MAE_min,MAE_max,MAPE (%)_count,MAPE (%)_mean,MAPE (%)_median,MAPE (%)_std,MAPE (%)_min,MAPE (%)_max,sMAPE (%)_count,sMAPE (%)_mean,sMAPE (%)_median,sMAPE (%)_std,sMAPE (%)_min,sMAPE (%)_max,Accuracy (%)_count,Accuracy (%)_mean,Accuracy (%)_median,Accuracy (%)_std,Accuracy (%)_min,Accuracy (%)_max
Communication Services,4,2422.7099710682046,2110.052353049161,2360.7080004852237,248.42637181484213,5222.308806359654,4,2136.5277849805016,1813.9724132866072,2117.63470086591,196.94678747854044,4721.21952587025,4,14.109024999999999,12.713899999999999,7.126769672334023,7.9406,23.0677,4,14.934525,13.7953,7.800891071484505,7.7787,24.3688,4,85.890975,87.2861,7.126769672334024,76.9323,92.0594
Consumer Discretionary,12,3920.747617599458,1977.8289333275532,4201.277171565,505.4489711918531,14218.21675865756,12,3571.7233606754003,1813.6764163611633,3886.4159476146096,417.577823781858,13386.517609388142,12,32.912758333333336,27.735500000000002,17.230520693259194,16.2837,74.1617,12,35.406258333333334,30.4366,19.209158919898712,17.4982,85.9317,12,67.08724166666667,72.2645,17.2305206932592,25.8383,83.7163
Consumer Staples,19,6595.997256373509,1628.547421605301,12052.940294900976,228.3053961942512,46126.94793852278,19,5828.345693935052,1510.2570929893109,10536.388925363282,159.13634119000673,39935.72752431925,19,22.03867894736842,21.062,11.901148454506348,4.4888,52.3908,19,26.027573684210527,23.1593,17.11726957301836,4.6524,74.2033,19,77.96132105263159,78.938,11.90114845450635,47.6092,95.5112
Energy,9,6459.173140818471,2453.8765881644727,8790.94568939872,450.1188481275413,25312.30823034654,9,5869.020685223998,2202.9151705880035,8001.920681353922,389.8415658240061,23010.763629003373,9,33.57971111111111,30.3002,8.271289752729684,24.3072,50.088,9,36.43694444444444,31.3978,11.829509089572474,26.203,57.3952,9,66.42028888888889,69.6998,8.271289752729684,49.912,75.6928
Financial ,22,5322.507580156228,1792.0210310988468,7456.044662987129,290.50196342591585,29272.86818059109,22,4341.030991949763,1495.1820586661574,6021.192738659422,241.50213566830715,23300.269094745214,22,44.25689545454546,29.389499999999998,75.16933640201002,9.5219,378.5191,22,34.07471363636363,32.26165,12.458750253891953,10.1586,61.4175,22,55.74310454545455,70.6105,75.16933640201002,-278.5191,90.4781
Healthcare,18,7626.1234002499,3511.2239777058585,10148.231067896186,326.2889207265676,34888.085644168685,18,6504.073118334855,3035.991353586524,8637.61626124444,221.74844293997805,29458.456172649076,18,24.79557777777778,25.7232,11.737735988058324,8.1009,51.4782,18,30.417277777777777,30.7511,16.329336471320406,8.4877,69.8913,18,75.20442222222222,74.27680000000001,11.73773598805832,48.5218,91.8991
Industrials,32,2110.3675769012993,1249.7554693365691,2147.6032855855465,191.43077544930833,9282.845675250175,32,1877.616258113128,1087.919553231879,1956.2321735669989,165.71031670227376,8354.831220482005,32,23.994559375,19.775750000000002,13.475949914183664,8.28,72.5668,32,26.32841875,22.316049999999997,12.951724662225054,7.8541,60.1188,32,76.005440625,80.22425,13.475949914183666,27.4332,91.72
Information Technology,14,7706.1366288677555,4200.131266195702,11077.71631769425,602.3941286099019,38962.789534296644,14,6828.642749430027,3726.4357846605753,9943.277507733455,515.6974846349283,35498.66509254998,14,38.657207142857146,36.32915,16.65313792876767,6.9503,66.4015,14,50.018564285714284,44.716049999999996,29.509028868560716,6.7895,105.1916,14,61.342792857142854,63.67085,16.653137928767674,33.5985,93.0497
Materials,9,1514.7042881296843,1091.0296358025166,1204.0958263024834,352.3460749710266,4437.5025231065165,9,1342.9261774800352,940.8864187772434,1121.673395383647,311.0838668935056,4134.978909058283,9,27.069688888888887,25.2018,13.859138499600585,11.5191,49.6762,9,33.958844444444445,29.5678,20.941342931752914,12.3328,69.9356,9,72.93031111111111,74.7982,13.859138499600585,50.3238,88.4809
Real Estate,1,548.708475450985,548.708475450985,,548.708475450985,548.708475450985,1,343.7022280502627,343.7022280502627,,343.7022280502627,343.7022280502627,1,13.8867,13.8867,,13.8867,13.8867,1,16.2045,16.2045,,16.2045,16.2045,1,86.1133,86.1133,,86.1133,86.1133
Utilities,16,1143.157143739113,962.6438985723021,751.7211688014655,379.6570270511929,2637.637476947597,16,991.1114644449959,784.7207776369677,675.9983278954767,323.53176810332116,2375.910714968598,16,24.3557875,25.9548,8.394113543896898,12.2699,42.6828,16,27.18091875,30.83775,9.772192310579971,11.3988,41.846,16,75.6442125,74.0452,8.394113543896895,57.3172,87.7301
