,count,mean,median,std,min,max
RMSE,156.0,4169.62700653283,1523.64798903891,7148.666150655698,151.65236230671897,40433.29951267664
MAE,156.0,3652.665514906587,1287.7233074533674,6391.195939291471,108.46244877582366,37775.35323511657
MAPE (%),156.0,28.75236730769231,23.167299999999997,41.78497689993712,4.8847,521.2464
sMAPE (%),156.0,29.922896794871797,26.6822,17.25585648991209,5.0175,95.0872
Accuracy (%),156.0,71.2476326923077,76.8327,41.78497689993712,-421.2464,95.1153
