Ticker,Sector,ADF Statistic,ADF p-value,ADF Lags Used,ADF Observations Used,ADF CV 1%,ADF CV 5%,ADF CV 10%,KPSS Statistic,KPSS p-value,KPSS Lags Used,KPSS CV 10%,KPSS CV 5%,KPSS CV 2.5%,KPSS CV 1%,Val RMSE,Val MAE,Val MAPE (%),Val sMAPE (%),Val Accuracy (%),RMSE,MAE,MAPE (%),sMAPE (%),Accuracy (%),Train N,Val N,Test N
AAPL,Information Technology,1.174435415596441,0.9958044082410052,6,113,-3.489589552580676,-2.887477210140433,-2.580604145195395,1.6590401884757857,0.01,6,0.347,0.463,0.574,0.739,18456.551898477086,13851.65135060534,20.0241,22.531,79.9759,40433.29951267664,37775.35323511657,37.6181,47.0631,62.3819,84,17,19
ABT,Healthcare,-1.3000699241079818,0.6291403227093825,4,117,-3.487517288664615,-2.8865777180380032,-2.5801239192052012,1.340482256527012,0.01,6,0.347,0.463,0.574,0.739,2620.0473612667015,2359.019408558009,30.9203,37.9153,69.0797,2456.338438637814,2381.730923212166,22.3436,25.3137,77.6564,85,18,19
ADM,Consumer Staples,-1.5134471947478745,0.5268490265733484,4,116,-3.4880216384691867,-2.8867966864160075,-2.5802408234244947,1.4891940808874766,0.01,6,0.347,0.463,0.574,0.739,2546.632560791491,2388.345024159812,14.9717,16.3477,85.0283,8340.998476924055,7987.44482798847,34.9247,42.8064,65.0753,84,18,19
ADP,Industrials,1.7574245667952981,0.9982607298389934,12,109,-3.49181775886872,-2.8884437992971588,-2.5811201893779985,1.7331486323464875,0.01,6,0.347,0.463,0.574,0.739,605.7627050017869,519.0242794391728,14.6918,16.1969,85.3082,1159.9090122418208,1022.3237700890008,21.5342,24.7956,78.4658,85,18,19
ADSK,Information Technology,1.9849888955612203,0.9986531255202751,13,109,-3.49181775886872,-2.8884437992971588,-2.5811201893779985,1.5391480105129396,0.01,6,0.347,0.463,0.574,0.739,175.36963180723419,151.88621846782553,22.7066,23.2953,77.2934,440.0720042662784,390.4664327758073,28.4802,34.2293,71.5198,85,18,19
AEE,Utilities,-1.3265766684600495,0.6169274648749515,7,103,-3.4954932834550623,-2.8900369024285117,-2.5819706975209726,0.9327381907056318,0.01,5,0.347,0.463,0.574,0.739,164.62214075928952,131.06887104958625,8.1333,8.6586,91.8667,492.453985910912,426.8668917193085,21.7254,25.1538,78.2746,74,18,19
AEP,Utilities,-4.001501560434186,0.0014026690192578092,0,121,-3.485585145896754,-2.885738566292665,-2.5796759080663887,0.11083591543563513,0.1,5,0.347,0.463,0.574,0.739,674.1241869690724,600.3694294013522,14.9224,16.4222,85.0776,1451.3145763887096,1300.3146702972908,26.3249,31.243,73.6751,85,18,19
AIG,Financial ,-2.635756316928786,0.08583002318148081,2,119,-3.4865346059036564,-2.8861509858476264,-2.579896092790057,0.3209076389299198,0.1,5,0.347,0.463,0.574,0.739,1541.4648296640205,1062.9292225127792,9.0341,8.6954,90.9659,3621.9984425779244,3050.5499063926386,37.3345,29.1063,62.6655,85,18,19
ALL,Financial ,2.5909636493115666,0.9990734290411671,4,117,-3.487517288664615,-2.8865777180380032,-2.5801239192052012,1.4506555451994387,0.01,6,0.347,0.463,0.574,0.739,1697.5856229438693,1508.514741439837,14.4519,15.8526,85.5481,4165.09098257388,3794.3192621614235,25.8441,30.2959,74.1559,85,18,19
AMAT,Information Technology,0.7388640446327674,0.9905823958150047,5,117,-3.487517288664615,-2.8865777180380032,-2.5801239192052012,1.4650596778627334,0.01,6,0.347,0.463,0.574,0.739,2087.331691834596,1971.7975059271714,50.777,70.0008,49.223,3400.3151718199074,3163.9098786329478,47.8499,65.8056,52.1501,85,18,19
AMD,Information Technology,2.4317155525803336,0.9990244621701186,8,113,-3.489589552580676,-2.887477210140433,-2.580604145195395,1.0726839272994626,0.01,6,0.347,0.463,0.574,0.739,792.114909268218,670.4931932320508,38.9238,50.3859,61.0762,3895.947950615507,3599.7551842784405,60.7084,90.403,39.2916,85,18,19
AMGN,Healthcare,0.6154492963114966,0.9879903016429435,8,113,-3.489589552580676,-2.887477210140433,-2.580604145195395,1.8115253543593226,0.01,6,0.347,0.463,0.574,0.739,324.6668374656786,244.52028603032937,4.0345,4.1549,95.9655,1104.6820817793107,783.7586386160634,9.8004,10.6129,90.1996,85,18,19
APD,Materials,-1.5142869989693446,0.5264322985704266,4,117,-3.487517288664615,-2.8865777180380032,-2.5801239192052012,1.4415846216642978,0.01,6,0.347,0.463,0.574,0.739,426.04408116576377,396.01427308072317,17.7458,19.7397,82.2542,809.838953928219,755.7627137760601,24.6606,28.6118,75.3394,85,18,19
AVY,Industrials,-0.41466112699447955,0.9076219650933159,9,113,-3.489589552580676,-2.887477210140433,-2.580604145195395,1.6660255720167048,0.01,6,0.347,0.463,0.574,0.739,269.47455843423177,242.22612932565647,13.9476,15.2401,86.0524,491.9281781177894,479.47648225347575,22.0758,24.9333,77.9242,85,18,19
AXP,Financial ,2.425159599415107,0.9990216623440418,9,113,-3.489589552580676,-2.887477210140433,-2.580604145195395,1.5095202314562093,0.01,6,0.347,0.463,0.574,0.739,2195.88384443161,1836.2519611034727,16.8566,19.0262,83.1434,7257.888284097491,6393.00782223844,38.5065,49.9591,61.4935,85,18,19
BA,Industrials,-2.6256335765790393,0.08781420846193322,4,117,-3.487517288664615,-2.8865777180380032,-2.5801239192052012,1.1391196550645601,0.01,6,0.347,0.463,0.574,0.739,3833.8180011723584,3068.6831510223255,16.88,15.2784,83.12,5131.38474991333,4399.1426499895015,23.7834,27.9396,76.2166,85,18,19
BAC,Financial ,-1.1829793541423723,0.6808743765157541,4,118,-3.4870216863700767,-2.8863625166643136,-2.580009026141913,1.2374302064677174,0.01,6,0.347,0.463,0.574,0.739,5520.97134999018,4784.612924800778,17.7584,20.0648,82.2416,20782.531003186912,17316.922213059937,41.6158,56.9819,58.3842,85,18,19
BAX,Healthcare,-1.676532496702238,0.44324238645223474,7,114,-3.489057523907491,-2.887246327182993,-2.5804808802708528,1.1563181086968146,0.01,6,0.347,0.463,0.574,0.739,321.21595178892255,273.7236413197314,9.7722,10.4645,90.2278,563.9702512365819,421.4845423710141,11.9267,13.2174,88.0733,85,18,19
BBWI,Consumer Discretionary,-1.7865244300035064,0.3871721647760989,11,111,-3.490683082754047,-2.8879516565798817,-2.5808574442009578,0.470322409699414,0.04835080862625811,3,0.347,0.463,0.574,0.739,846.9999446089204,624.9758753334353,18.3184,19.7986,81.6816,952.3904529463174,822.4331271283581,48.3472,37.2853,51.6528,85,18,19
BDX,Healthcare,1.061859950850572,0.9948776006266833,11,110,-3.4912451337340342,-2.8881954545454547,-2.5809876033057852,1.6957616015669645,0.01,6,0.347,0.463,0.574,0.739,1061.3131258680187,855.1168132983556,20.1159,23.6331,79.8841,524.6990989229663,436.4226395394282,8.5111,9.0495,91.4889,85,18,19
BEN,Financial ,-1.6573993424624416,0.45318436329575346,1,120,-3.486055829282407,-2.8859430324074076,-2.5797850694444446,1.5701820443993493,0.01,6,0.347,0.463,0.574,0.739,197.79940061763935,178.78327739672065,11.6214,12.4775,88.3786,354.6450406770634,337.7275140011074,16.0698,17.6026,83.9302,85,18,19
BK,Financial ,0.10799562032306136,0.9666027713518262,1,121,-3.485585145896754,-2.885738566292665,-2.5796759080663887,1.4429602657034122,0.01,6,0.347,0.463,0.574,0.739,586.512262899596,505.34038528201836,12.6395,13.7566,87.3605,3586.804870263526,2243.8247566968676,25.8799,35.7431,74.1201,85,18,19
BLL,Consumer Discretionary,-0.7364240796561515,0.8370879903019197,7,104,-3.4948504603223145,-2.889758398668639,-2.5818220155325444,1.6161455828848785,0.01,6,0.347,0.463,0.574,0.739,1008.2813232119963,973.5545053986439,34.3355,41.912,65.6645,841.4420638223239,625.0672818212623,38.0007,24.4914,61.9993,85,18,9
BMY,Healthcare,0.1690592949408285,0.9704718442704161,1,120,-3.486055829282407,-2.8859430324074076,-2.5797850694444446,1.0611180521010213,0.01,6,0.347,0.463,0.574,0.739,2810.716252591516,2057.33510957202,27.279,33.7398,72.721,3004.8978404254676,2850.3100187507284,24.3916,28.1988,75.6084,85,18,19
BSX,Healthcare,2.394260430764295,0.9990075829303726,1,120,-3.486055829282407,-2.8859430324074076,-2.5797850694444446,1.633494741570166,0.01,6,0.347,0.463,0.574,0.739,477.46836072865835,413.57228755988143,16.4107,18.3241,83.5893,1158.8776962782065,946.442699358777,24.0697,28.6743,75.9303,85,18,19
C,Financial ,-2.537740711777861,0.10655950531464353,4,118,-3.4870216863700767,-2.8863625166643136,-2.580009026141913,0.44488129653375236,0.05780978597683089,6,0.347,0.463,0.574,0.739,4747.009278981046,3993.5113049490374,16.2262,18.2512,83.7738,15936.054341273693,12707.11595944179,33.207,43.345,66.793,85,18,19
CAG,Consumer Staples,-1.7571185192923764,0.40194921799965616,4,118,-3.4870216863700767,-2.8863625166643136,-2.580009026141913,1.2461440086726747,0.01,6,0.347,0.463,0.574,0.739,568.127818743291,520.6235727576261,24.6376,21.3848,75.3624,213.15332314686935,159.16496123749525,5.5477,5.3004,94.4523,85,18,19
CAT,Industrials,-0.7298250180679846,0.8388722134960033,10,111,-3.490683082754047,-2.8879516565798817,-2.5808574442009578,1.470711174815494,0.01,6,0.347,0.463,0.574,0.739,3064.497261309645,2537.497960332811,19.6702,22.7757,80.3298,4773.392152455828,4400.531612591489,28.2361,33.618,71.7639,85,18,19
CI,Healthcare,1.6711850874118732,0.998056172463197,0,120,-3.486055829282407,-2.8859430324074076,-2.5797850694444446,1.2373349990405706,0.01,6,0.347,0.463,0.574,0.739,19044.90530701474,13058.790782198128,41.1918,62.0246,58.8082,19359.36402713082,16083.23718604758,28.9584,35.7029,71.0416,84,18,19
CL,Consumer Staples,-0.8363642291536425,0.808206340151012,12,109,-3.49181775886872,-2.8884437992971588,-2.5811201893779985,1.6561838836270975,0.01,6,0.347,0.463,0.574,0.739,238.5084184500812,209.3093411154592,5.2867,5.4712,94.7133,586.6541653830243,471.8266612241943,9.6207,10.3733,90.3793,85,18,19
CLX,Consumer Staples,-1.891985176156872,0.33584087979405075,12,109,-3.49181775886872,-2.8884437992971588,-2.5811201893779985,1.7360310854357295,0.01,6,0.347,0.463,0.574,0.739,278.7187215704264,219.28099738726968,12.9556,14.3313,87.0444,151.65236230671897,108.46244877582366,6.0609,6.1308,93.9391,85,18,19
CMA,Financial ,-3.7674955894663515,0.003257945611878666,7,115,-3.4885349695076844,-2.887019521656941,-2.5803597920604915,0.1927421513517469,0.1,6,0.347,0.463,0.574,0.739,83.05076626035876,67.99936940174925,7.678,7.9653,92.322,376.34872105526557,316.1399124868156,26.6215,32.2668,73.3785,85,18,19
CMI,Industrials,1.8691366309287532,0.9984767154985242,11,110,-3.4912451337340342,-2.8881954545454547,-2.5809876033057852,1.7127923531773357,0.01,6,0.347,0.463,0.574,0.739,1347.6886787946755,1142.5921787225798,20.248,23.4113,79.752,3051.366121203608,2771.2391725036723,34.9746,43.7571,65.0254,85,18,19
CNP,Utilities,-3.400010876752029,0.010958500826350717,1,121,-3.485585145896754,-2.885738566292665,-2.5796759080663887,0.24045065437840105,0.1,5,0.347,0.463,0.574,0.739,575.4061186027927,448.0777014901756,18.9133,20.1691,81.0867,482.3120803571317,353.7610965776004,14.1126,15.9421,85.8874,85,18,19
COP,Energy,-1.6627866788241734,0.45038062694630127,2,119,-3.4865346059036564,-2.8861509858476264,-2.579896092790057,0.3131265094160468,0.1,6,0.347,0.463,0.574,0.739,2196.9769166347633,1896.7400949210476,28.3098,28.7306,71.6902,10164.464954666228,9481.09125025648,63.3734,95.0872,36.6266,85,18,19
COST,Consumer Staples,2.3005019514289726,0.9989555014511324,12,110,-3.4912451337340342,-2.8881954545454547,-2.5809876033057852,1.7002386461261585,0.01,6,0.347,0.463,0.574,0.739,18144.291691941005,16182.17050001159,42.2765,55.9646,57.7235,12393.265229106031,10138.588349620086,16.3374,17.8849,83.6626,85,18,19
CPB,Consumer Staples,0.4994724680265515,0.9848570535746434,12,110,-3.4912451337340342,-2.8881954545454547,-2.5809876033057852,2.1177969805885897,0.01,3,0.347,0.463,0.574,0.739,325.8324105630525,271.1771006860077,14.914,15.073,85.086,510.40395527216367,471.7085813914816,19.797,22.2636,80.203,85,18,19
CSCO,Information Technology,-1.9088058998927353,0.3279299447495625,5,117,-3.487517288664615,-2.8865777180380032,-2.5801239192052012,1.7646428422210718,0.01,6,0.347,0.463,0.574,0.739,1673.6446456595986,1522.1159234451086,12.0993,13.0378,87.9007,2225.0726910800995,1932.698080225097,14.0045,15.3891,85.9955,85,18,19
CSX,Industrials,-0.3223854869442152,0.9222734957398153,0,122,-3.4851223522012855,-2.88553750045158,-2.5795685622144586,1.2525471250989046,0.01,6,0.347,0.463,0.574,0.739,314.02240090900034,280.23574173558245,9.6429,10.0649,90.3571,948.2103879798466,892.2928945573818,24.8553,28.8199,75.1447,85,18,19
CVS,Healthcare,3.6556971254228072,1.0,5,116,-3.4880216384691867,-2.8867966864160075,-2.5802408234244947,1.6943150422250186,0.01,6,0.347,0.463,0.574,0.739,17143.731725099697,13740.60360108841,23.0353,27.5535,76.9647,22912.289542838942,20296.629752189532,22.8388,26.5426,77.1612,85,18,19
CVX,Energy,-2.036002991996277,0.27101347751006144,8,113,-3.489589552580676,-2.887477210140433,-2.580604145195395,0.7927322492255787,0.01,5,0.347,0.463,0.574,0.739,8201.449582406292,7072.135191024379,21.7162,23.2376,78.2838,25559.428103810496,23805.684687306806,47.8728,64.7086,52.1272,85,18,19
D,Utilities,-2.2023761249291076,0.20538419118624934,7,114,-3.489057523907491,-2.887246327182993,-2.5804808802708528,0.9123747350176736,0.01,6,0.347,0.463,0.574,0.739,929.2338087371539,796.2576911438521,22.036,25.596,77.964,547.4582061767774,427.69504317360014,10.8459,11.6559,89.1541,85,18,19
DE,Industrials,0.2746452191414103,0.9761508478047214,13,109,-3.49181775886872,-2.8884437992971588,-2.5811201893779985,1.6072473278850505,0.01,6,0.347,0.463,0.574,0.739,2649.3355994644176,2255.7090488546255,25.1759,29.8525,74.8241,4511.084763410224,3840.509470515459,28.4505,34.7385,71.5495,85,18,19
DHR,Healthcare,-0.7369566687270104,0.8369433354004974,13,109,-3.49181775886872,-2.8884437992971588,-2.5811201893779985,1.7567177500525488,0.01,6,0.347,0.463,0.574,0.739,810.1494580761113,741.5990774252236,16.2881,14.9064,83.7119,1003.8050063626987,762.644280746908,10.4556,11.4238,89.5444,85,18,19
DIS,Communication Services,3.17195963759881,1.0,13,108,-3.4924012594942333,-2.8886968193364835,-2.5812552709190673,1.7193377286907334,0.01,6,0.347,0.463,0.574,0.739,3477.692518012598,2501.168483879062,14.5295,16.5153,85.4705,8121.620093376014,7555.372753858546,34.3361,42.5033,65.6639,85,18,19
DOV,Industrials,-1.8569725167875863,0.3525652476131846,1,121,-3.485585145896754,-2.885738566292665,-2.5796759080663887,1.5246642691821473,0.01,6,0.347,0.463,0.574,0.739,237.4804411840607,212.06061698449605,11.8453,12.772,88.1547,459.86127422805225,444.5525534340598,21.9381,24.8141,78.0619,85,18,19
DTE,Utilities,-0.76460045238747,0.8292999555644984,11,110,-3.4912451337340342,-2.8881954545454547,-2.5809876033057852,1.6339455037511408,0.01,6,0.347,0.463,0.574,0.739,816.1406517313818,747.3341188068139,23.0633,26.5295,76.9367,1209.1203558949244,959.8711881183414,23.0915,27.6136,76.9085,85,18,19
DUK,Utilities,-3.9114547125743866,0.0019521454559909444,3,118,-3.4870216863700767,-2.8863625166643136,-2.580009026141913,0.2390090378108708,0.1,6,0.347,0.463,0.574,0.739,1838.9056907485403,1685.796020032883,27.3303,32.5025,72.6697,2503.1795674333034,2214.745906412149,29.8193,36.6313,70.1807,85,18,19
ECL,Materials,-0.6607708147802837,0.856650853985903,4,118,-3.4870216863700767,-2.8863625166643136,-2.580009026141913,1.7557447790631517,0.01,6,0.347,0.463,0.574,0.739,478.7606953681632,424.54250131967393,12.2337,13.1946,87.7663,778.8059312475505,686.463891119254,18.1468,20.4529,81.8532,85,18,19
EIX,Utilities,-0.48285148691570506,0.8953196945181543,7,114,-3.489057523907491,-2.887246327182993,-2.5804808802708528,1.662346424535872,0.01,4,0.347,0.463,0.574,0.739,665.0792618520268,475.6399740901081,13.3665,14.7022,86.6335,1374.0799227510456,1223.9661150859313,28.2993,33.761,71.7007,85,18,19
