Ticker,Sector,RMSE,MAE,NRMSE,MAPE (%),MdAPE (%),sMAPE (%),Accuracy (%)
AAPL,Information Technology,35434.761833991106,31421.777226157214,0.39176293770547205,32.2698678491015,33.47291176764314,39.45015551290687,67.7301321508985
ABT,Healthcare,2535.634545920065,2273.201407733006,0.24759638179084706,21.689034945065064,24.55435457002067,24.92199558494293,78.31096505493494
ADM,Consumer Staples,6333.91145071839,5370.7106617025165,0.29462793984177094,23.65891769121176,27.724964992033975,27.995392241151652,76.34108230878824
ADP,Industrials,881.9827755438395,699.1498947691638,0.20921880053701467,14.914181154811661,15.029815500970805,16.769335567219635,85.08581884518834
ADSK,Information Technology,539.3883629200585,468.15000453993014,0.43995788166399535,35.11372459531032,37.55100999352412,44.43698621115628,64.88627540468968
AEE,Utilities,381.90206376831145,304.3302448551125,0.21698980895926792,15.631887312328411,14.384105952798956,17.48320669304692,84.36811268767158
AEP,Utilities,1095.2808861048916,948.7667333969094,0.24354187759431012,19.938548399581624,19.75595469900613,22.509939232699914,80.06145160041838
AIG,Financial ,2793.871928676063,2428.481889924409,0.2529077513058801,26.162988178163634,19.487723022299978,23.31453938245761,73.83701182183637
ALL,Financial ,3402.049860748141,2791.6343950125733,0.2610535497811648,19.250669574889084,18.625339745547553,22.177731982239994,80.74933042511091
AMAT,Information Technology,2769.604726783133,2528.4718547836765,0.4310668835460131,39.83323065623323,46.64701321112743,51.505073875583875,60.16676934376677
AMD,Information Technology,3894.612250455034,3389.461042147915,0.7267423494038127,63.37123832751037,74.47104198340942,98.98138383280265,36.62876167248963
AMGN,Healthcare,937.3008607675722,671.7431715656936,0.14090512037997183,8.639284165023653,6.18986047635617,9.329367372612689,91.36071583497635
APD,Materials,678.1903520832827,569.4158694434437,0.231345847546745,18.822742163442673,23.745232399693727,21.5473157591484,81.17725783655733
AVY,Industrials,359.49962093544025,322.32761845809745,0.17102741243360614,15.04396777647444,15.91108140173504,16.436827754192503,84.95603222352555
AXP,Financial ,4642.313860726178,3734.2341584854503,0.3245238630357343,23.426502775668183,25.21462758752963,26.493856739654188,76.57349722433182
BA,Industrials,7457.302193188461,6974.474851641934,0.4421500173834019,43.96136242637028,41.76168396025017,34.72544059411535,56.03863757362972
BAC,Financial ,11529.632069400004,9904.986392476656,0.37978892118716684,27.18766921395817,30.66841766694447,29.008214493008584,72.81233078604183
BAX,Healthcare,547.0375886621356,411.5459601086234,0.18406379160906333,12.020076218033362,7.286838337237445,13.276212537776958,87.97992378196663
BBWI,Consumer Discretionary,1324.911708413232,1192.5520997137996,0.8010348902135623,67.65226896136883,60.27094811700482,47.14354320871213,32.34773103863117
BDX,Healthcare,734.5780771479797,648.1069162713542,0.15354892916972823,13.004612436134675,12.887481571698139,14.1097256033902,86.99538756386532
BEN,Financial ,585.2478211301683,528.1256033854277,0.2933425999349246,26.035182571462578,28.85634060268718,30.531341089514076,73.96481742853743
BK,Financial ,3517.5645249214504,2278.6877030325822,0.8447561299042876,29.04752275073611,17.305221794725885,38.97979970135345,70.9524772492639
BLL,Consumer Discretionary,562.3945620174333,341.78194202452227,0.19044854792327565,17.758008435006765,6.039081892865364,12.993600327004657,82.24199156499324
BMY,Healthcare,5349.598768496017,5091.139209223617,0.4718707566813109,44.90463181131715,48.91537414472597,59.33966175553403,55.09536818868285
BSX,Healthcare,959.1416955858625,719.9259924818084,0.30256835822897843,19.16416970098367,15.937505323342174,22.02966654116654,80.83583029901632
C,Financial ,10608.164147357835,8872.263152659216,0.39811469441408953,27.023437505707328,34.861799982010936,29.051193303111017,72.97656249429266
CAG,Consumer Staples,366.6856232530975,312.18801309076554,0.1262561110260984,10.36814309016603,10.491191297215495,11.11772351427819,89.63185690983397
CAT,Industrials,2262.5890269814304,1949.4806424853377,0.1587893204422367,14.254184087426244,14.767847114607177,14.042650643397959,85.74581591257376
CI,Healthcare,73106.01410044087,69332.15508589876,1.6075028387449075,147.4346531799819,170.7968490242197,80.74616161248018,0.0
CL,Consumer Staples,826.4044649481001,722.8735989086833,0.18550044106579117,15.29088941495386,14.333593218451702,16.92523007307668,84.70911058504615
CLX,Consumer Staples,277.3645439377175,247.32502496081253,0.15400585449068155,13.510303160814798,14.021893335013635,14.691461216051085,86.4896968391852
CMA,Financial ,230.76781475433324,211.52703612901166,0.23864303490623917,21.774789491057913,20.435065800020844,21.118935830384373,78.22521050894208
CMI,Industrials,1603.4750915582224,1320.9127888749479,0.24346721706016147,18.51384600351168,18.630525818197036,19.351354764568068,81.48615399648833
CNP,Utilities,586.0911180000398,431.1717566273495,0.298873594084671,17.375589363905704,10.502811167601156,20.070024363730862,82.6244106360943
COP,Energy,5628.722947413442,4797.957255734485,0.4142421951290432,45.747875298375575,33.822213116023555,43.34903980217806,54.252124701624425
COST,Consumer Staples,22738.709473006053,19322.248088493892,0.41770688085320773,31.332436443153096,34.750531531040764,38.84832956432161,68.6675635568469
CPB,Consumer Staples,401.0263555620264,327.02471904506984,0.17918961374532016,15.97586703416371,12.16535975505635,15.70217044007754,84.02413296583629
CSCO,Information Technology,986.0069059419545,823.9516782080478,0.07511861236796856,6.378742025786218,6.634106289236354,6.189938846130481,93.62125797421378
CSX,Industrials,607.8437780183689,519.1421513844554,0.17175580051380865,14.840795768684792,14.90565039971833,15.851115812823725,85.15920423131521
CVS,Healthcare,14979.036898390397,11516.411354088608,0.1857611600078179,13.000838443557496,12.763505292426316,14.460338563675526,86.9991615564425
CVX,Energy,13132.648006606709,11330.856042625031,0.2819374840405048,28.643239712551143,23.2575963259522,28.204334144116512,71.35676028744885
D,Utilities,662.4073655973257,553.8477836364367,0.1738602009441799,14.03019314144248,12.995959935399087,15.362663235461174,85.96980685855752
DE,Industrials,3464.592663791555,2666.211730829186,0.2940331548664651,20.083082504251735,20.751438981977802,23.602507142175664,79.91691749574827
DHR,Healthcare,1882.8705433067983,1613.6608705859928,0.31106402499699276,23.79842746474512,20.767952673060687,28.02568985280779,76.20157253525488
DIS,Communication Services,6065.951263382942,5491.755570600945,0.28557748050388143,25.89807500444874,28.487828599377924,30.08355727286674,74.10192499555126
DOV,Industrials,221.69233049321042,193.75781179010076,0.11176588672849398,9.749197982070779,10.361460917839198,10.215174485452536,90.25080201792922
DTE,Utilities,735.3992030412986,572.5052822364655,0.2236615581025846,15.494551651650587,16.358835252168845,15.760808233373751,84.50544834834942
DUK,Utilities,1139.4415587658477,932.3939888337144,0.16392483941387545,12.730455927997198,13.564390273200763,13.901811771941055,87.2695440720028
ECL,Materials,564.2698513724434,464.31442245203266,0.15759086504285402,12.441523031535393,13.852636157725678,13.486660880445742,87.5584769684646
EIX,Utilities,1074.9787432792343,843.2242873001894,0.2710485989105482,19.317376073971037,21.76792327797967,22.449874326123496,80.68262392602897
EMN,Materials,213.3027546371073,174.15506774844772,0.09186165143716943,7.2611596069223046,6.025312888344184,7.265247527747308,92.7388403930777
