Ticker,Sector,ADF Statistic,ADF p-value,ADF Lags Used,ADF Observations Used,ADF CV 1%,ADF CV 5%,ADF CV 10%,KPSS Statistic,KPSS p-value,KPSS Lags Used,KPSS CV 10%,KPSS CV 5%,KPSS CV 2.5%,KPSS CV 1%,RMSE,MAE,MAPE (%),sMAPE (%),Accuracy (%)
AAPL,Information Technology,1.1744354155964434,0.9958044082410052,6,113,-3.489589552580676,-2.887477210140433,-2.580604145195395,1.6590401884757853,0.01,6,0.347,0.463,0.574,0.739,38255.17176794928,36181.24926559729,37.3785,46.6622,62.6215
ABT,Healthcare,-1.3000699241079818,0.6291403227093825,4,117,-3.487517288664615,-2.8865777180380032,-2.5801239192052012,1.340482256527012,0.01,6,0.347,0.463,0.574,0.739,2243.7663516380703,2118.7889648592723,19.9317,22.2739,80.0683
ADM,Consumer Staples,-1.513447194747873,0.5268490265733493,4,116,-3.4880216384691867,-2.8867966864160075,-2.5802408234244947,1.489194080887477,0.01,6,0.347,0.463,0.574,0.739,7482.313802295912,6945.020669569938,30.8141,37.2073,69.1859
ADP,Industrials,1.757424566795301,0.9982607298389934,12,109,-3.49181775886872,-2.8884437992971588,-2.5811201893779985,1.7331486323464873,0.01,6,0.347,0.463,0.574,0.739,573.055400254834,476.42208915161314,9.92,10.5998,90.08
ADSK,Information Technology,1.9849888955612216,0.9986531255202751,13,109,-3.49181775886872,-2.8884437992971588,-2.5811201893779985,1.5391480105129396,0.01,6,0.347,0.463,0.574,0.739,552.2982758695482,472.23420318835036,31.812,39.7241,68.188
AEE,Utilities,-1.3265766684600506,0.616927464874951,7,103,-3.4954932834550623,-2.8900369024285117,-2.5819706975209726,0.9327381907056318,0.01,5,0.347,0.463,0.574,0.739,524.4702993430292,456.2693752172144,22.2929,25.9191,77.7071
AEP,Utilities,-4.001501560434186,0.0014026690192578092,0,121,-3.485585145896754,-2.885738566292665,-2.5796759080663887,0.11083591543563516,0.1,5,0.347,0.463,0.574,0.739,1112.1465961375789,963.9808571506219,19.4482,22.1876,80.5518
AIG,Financial ,-2.635756316928787,0.0858300231814807,2,119,-3.4865346059036564,-2.8861509858476264,-2.579896092790057,0.3209076389299198,0.1,5,0.347,0.463,0.574,0.739,3840.3975518898087,3313.769819704449,41.4178,31.9586,58.5822
ALL,Financial ,2.5909636493115666,0.9990734290411671,4,117,-3.487517288664615,-2.8865777180380032,-2.5801239192052012,1.4506555451994387,0.01,6,0.347,0.463,0.574,0.739,3624.122685718753,3122.371881102794,20.7355,23.7442,79.2645
AMAT,Information Technology,0.7388640446327687,0.9905823958150047,5,117,-3.487517288664615,-2.8865777180380032,-2.5801239192052012,1.4650596778627334,0.01,6,0.347,0.463,0.574,0.739,2582.7949019985977,2409.0677098179535,36.0024,45.0218,63.9976
AMD,Information Technology,2.4317155525803327,0.9990244621701186,8,113,-3.489589552580676,-2.887477210140433,-2.580604145195395,1.0726839272994626,0.01,6,0.347,0.463,0.574,0.739,4160.306942844564,3741.296399007697,61.7028,93.7777,38.2972
AMGN,Healthcare,0.6154492963114956,0.9879903016429434,8,113,-3.489589552580676,-2.887477210140433,-2.580604145195395,1.8115253543593226,0.01,6,0.347,0.463,0.574,0.739,1346.1382169890232,1015.0119263442248,12.2163,13.5471,87.7837
APD,Materials,-1.5142869989693455,0.5264322985704262,4,117,-3.487517288664615,-2.8865777180380032,-2.5801239192052012,1.4415846216642978,0.01,6,0.347,0.463,0.574,0.739,709.2874067286242,641.7859930757828,21.1726,24.157,78.8274
AVY,Industrials,-0.4146611269944777,0.9076219650933162,9,113,-3.489589552580676,-2.887477210140433,-2.580604145195395,1.666025572016704,0.01,6,0.347,0.463,0.574,0.739,440.5160478442856,421.5445198974887,19.4856,21.682,80.5144
AXP,Financial ,2.425159599415109,0.9990216623440418,9,113,-3.489589552580676,-2.887477210140433,-2.580604145195395,1.5095202314562093,0.01,6,0.347,0.463,0.574,0.739,5849.01871318158,4993.581497510262,29.1016,34.2203,70.8984
BA,Industrials,-2.62563357657904,0.08781420846193316,4,117,-3.487517288664615,-2.8865777180380032,-2.5801239192052012,1.1391196550645601,0.01,6,0.347,0.463,0.574,0.739,3410.8069142881,2587.4147061326776,13.4503,14.4077,86.5497
BAC,Financial ,-1.1829793541423734,0.6808743765157538,4,118,-3.4870216863700767,-2.8863625166643136,-2.580009026141913,1.2374302064677174,0.01,6,0.347,0.463,0.574,0.739,16075.614518354054,13501.6024280437,31.6492,38.8124,68.3508
BAX,Healthcare,-1.6765324967022373,0.44324238645223507,7,114,-3.489057523907491,-2.887246327182993,-2.5804808802708528,1.1563181086968144,0.01,6,0.347,0.463,0.574,0.739,440.2546357437375,355.11993593680614,10.8698,11.3388,89.1302
BBWI,Consumer Discretionary,-1.7865244300035015,0.3871721647761013,11,111,-3.490683082754047,-2.8879516565798817,-2.5808574442009578,0.47032240969941397,0.048350808626258124,3,0.347,0.463,0.574,0.739,1351.8486552934612,1259.1178353287107,72.7368,51.601,27.2632
BDX,Healthcare,1.061859950850571,0.9948776006266833,11,110,-3.4912451337340342,-2.8881954545454547,-2.5809876033057852,1.6957616015669645,0.01,6,0.347,0.463,0.574,0.739,690.9408382401712,605.410058843568,11.8545,12.6792,88.1455
BEN,Financial ,-1.6573993424624416,0.45318436329575346,1,120,-3.486055829282407,-2.8859430324074076,-2.5797850694444446,1.5701820443993493,0.01,6,0.347,0.463,0.574,0.739,693.4144317498098,664.75530956443,32.4385,39.0594,67.5615
BK,Financial ,0.1079956203230615,0.9666027713518262,1,121,-3.485585145896754,-2.885738566292665,-2.5796759080663887,1.4429602657034122,0.01,6,0.347,0.463,0.574,0.739,3917.690820710567,2677.425509728905,28.441,38.8465,71.559
BLL,Consumer Discretionary,-0.7364240796561519,0.8370879903019197,7,104,-3.4948504603223145,-2.889758398668639,-2.5818220155325444,1.6161455828848785,0.01,6,0.347,0.463,0.574,0.739,554.9276131155723,336.18446245992214,18.2982,12.5299,81.7018
BMY,Healthcare,0.16905929494082822,0.970471844270416,1,120,-3.486055829282407,-2.8859430324074076,-2.5797850694444446,1.0611180521010213,0.01,6,0.347,0.463,0.574,0.739,4726.945932497698,4689.743271615057,40.3608,50.6625,59.6392
BSX,Healthcare,2.3942604307642945,0.9990075829303726,1,120,-3.486055829282407,-2.8859430324074076,-2.5797850694444446,1.633494741570166,0.01,6,0.347,0.463,0.574,0.739,372.2759615233064,320.55510206540833,10.2209,9.4653,89.7791
C,Financial ,-2.5377407117778623,0.10655950531464314,4,118,-3.4870216863700767,-2.8863625166643136,-2.580009026141913,0.44488129653375236,0.05780978597683089,6,0.347,0.463,0.574,0.739,12586.304665984204,11214.274678523057,31.7431,35.5452,68.2569
CAG,Consumer Staples,-1.7571185192923773,0.40194921799965566,4,118,-3.4870216863700767,-2.8863625166643136,-2.580009026141913,1.2461440086726747,0.01,6,0.347,0.463,0.574,0.739,361.0550008345656,295.8704119055006,9.7941,10.531,90.2059
CAT,Industrials,-0.7298250180679842,0.8388722134960034,10,111,-3.490683082754047,-2.8879516565798817,-2.5808574442009578,1.470711174815494,0.01,6,0.347,0.463,0.574,0.739,3256.926304906036,2900.9537819445763,19.0227,20.8906,80.9773
CI,Healthcare,1.6711850874118725,0.998056172463197,0,120,-3.486055829282407,-2.8859430324074076,-2.5797850694444446,1.2373349990405709,0.01,6,0.347,0.463,0.574,0.739,25911.938166550488,23792.128838528984,43.0828,56.1473,56.9172
CL,Consumer Staples,-0.8363642291536398,0.8082063401510128,12,109,-3.49181775886872,-2.8884437992971588,-2.5811201893779985,1.6561838836270972,0.01,6,0.347,0.463,0.574,0.739,627.8555281231119,549.460153065867,11.2744,12.1377,88.7256
CLX,Consumer Staples,-1.8919851761568698,0.33584087979405186,12,109,-3.49181775886872,-2.8884437992971588,-2.5811201893779985,1.73603108543573,0.01,6,0.347,0.463,0.574,0.739,249.946595607549,229.44043385673027,12.3487,13.1915,87.6513
CMA,Financial ,-3.7674955894663507,0.0032579456118786753,7,115,-3.4885349695076844,-2.887019521656941,-2.5803597920604915,0.1927421513517469,0.1,6,0.347,0.463,0.574,0.739,321.38136930970103,254.22733319347935,22.0001,26.0119,77.9999
CMI,Industrials,1.8691366309287503,0.9984767154985242,11,110,-3.4912451337340342,-2.8881954545454547,-2.5809876033057852,1.712792353177336,0.01,6,0.347,0.463,0.574,0.739,2368.7423569704174,2071.3429069454764,26.3922,30.7913,73.6078
CNP,Utilities,-3.4000108767520283,0.010958500826350772,1,121,-3.485585145896754,-2.885738566292665,-2.5796759080663887,0.24045065437840105,0.1,5,0.347,0.463,0.574,0.739,524.6472325927024,478.3493751637063,24.5637,21.4449,75.4363
COP,Energy,-1.6627866788241734,0.45038062694630127,2,119,-3.4865346059036564,-2.8861509858476264,-2.579896092790057,0.31312650941604686,0.1,6,0.347,0.463,0.574,0.739,7086.758260498947,6394.254968304518,51.0883,59.4282,48.9117
COST,Consumer Staples,2.300501951428973,0.9989555014511324,12,110,-3.4912451337340342,-2.8881954545454547,-2.5809876033057852,1.700238646126158,0.01,6,0.347,0.463,0.574,0.739,12727.51173661365,10205.885995556018,14.9033,16.5294,85.0967
CPB,Consumer Staples,0.4994724680265557,0.9848570535746435,12,110,-3.4912451337340342,-2.8881954545454547,-2.5809876033057852,2.1177969805885897,0.01,3,0.347,0.463,0.574,0.739,548.3436586921545,509.24970121343114,21.9961,25.194,78.0039
CSCO,Information Technology,-1.9088058998927349,0.32792994474956283,5,117,-3.487517288664615,-2.8865777180380032,-2.5801239192052012,1.7646428422210718,0.01,6,0.347,0.463,0.574,0.739,2260.626274729316,1998.1982185537042,14.275,15.6636,85.725
CSX,Industrials,-0.3223854869442158,0.9222734957398152,0,122,-3.4851223522012855,-2.88553750045158,-2.5795685622144586,1.2525471250989046,0.01,6,0.347,0.463,0.574,0.739,878.7013616952325,761.2326687600205,20.0917,22.4934,79.9083
CVS,Healthcare,3.655697125422805,1.0,5,116,-3.4880216384691867,-2.8867966864160075,-2.5802408234244947,1.6943150422250188,0.01,6,0.347,0.463,0.574,0.739,4033.1477998581627,3264.498713708914,3.8243,3.7245,96.1757
CVX,Energy,-2.036002991996279,0.2710134775100606,8,113,-3.489589552580676,-2.887477210140433,-2.580604145195395,0.7927322492255787,0.01,5,0.347,0.463,0.574,0.739,15233.861335780728,13666.921299974974,32.2029,34.4399,67.7971
D,Utilities,-2.2023761249291063,0.2053841911862498,7,114,-3.489057523907491,-2.887246327182993,-2.5804808802708528,0.9123747350176736,0.01,6,0.347,0.463,0.574,0.739,930.5900076425502,875.8236034998616,24.3191,21.3395,75.6809
DE,Industrials,0.27464521914141093,0.9761508478047214,13,109,-3.49181775886872,-2.8884437992971588,-2.5811201893779985,1.6072473278850505,0.01,6,0.347,0.463,0.574,0.739,3597.0096067449276,3084.2162530799023,24.1588,28.2646,75.8412
DHR,Healthcare,-0.7369566687270117,0.8369433354004969,13,109,-3.49181775886872,-2.8884437992971588,-2.5811201893779985,1.7567177500525488,0.01,6,0.347,0.463,0.574,0.739,2296.4740432040853,2179.1921727020517,32.8072,39.6845,67.1928
DIS,Communication Services,3.1719596375988104,1.0,13,108,-3.4924012594942333,-2.8886968193364835,-2.5812552709190673,1.7193377286907334,0.01,6,0.347,0.463,0.574,0.739,5271.018615479811,4488.129142583502,24.8453,20.5857,75.1547
