,count,mean,median,std,min,max
RMSE,156.0,3173.7237625245502,1191.6003695419786,5239.163450389994,190.1189422995379,39259.033024010896
MAE,156.0,2750.210842276268,1077.8609199343443,4652.523055913542,171.1893522278437,36449.59025744515
MAPE (%),156.0,25.73691666666667,19.67755,44.394520472415515,1.9897,549.0894
sMAPE (%),156.0,26.023248076923075,22.0169,19.81304678135571,2.0078,126.6001
Accuracy (%),156.0,74.26308333333333,80.32245,44.394520472415515,-449.0894,98.0103
