,count,mean,median,std,min,max
RMSE,156.0,3214.3743114288777,1178.0677965394216,5281.773219807036,189.90940659456078,39227.83836929647
MAE,156.0,2784.89434206686,1047.8779250496493,4688.37314572091,171.04807231721827,36418.80548095208
MAPE (%),156.0,25.75469423076923,19.77545,44.39340201307054,2.0581,549.0914
sMAPE (%),156.0,26.02945512820513,22.284,19.800983616530328,2.0798,126.6001
Accuracy (%),156.0,74.24530576923077,80.22455,44.39340201307054,-449.0914,97.9419
