Ticker,Sector,ADF Statistic,ADF p-value,ADF Lags Used,ADF Observations Used,ADF CV 1%,ADF CV 5%,ADF CV 10%,KPSS Statistic,KPSS p-value,KPSS Lags Used,KPSS CV 10%,KPSS CV 5%,KPSS CV 2.5%,KPSS CV 1%,Val RMSE,Val MAE,Val MAPE (%),Val sMAPE (%),Val Accuracy (%),RMSE,MAE,MAPE (%),sMAPE (%),Accuracy (%),Train N,Val N,Test N
BBWI,Consumer Discretionary,-1.7865244300035015,0.3871721647761013,11,111,-3.490683082754047,-2.8879516565798817,-2.5808574442009578,0.47032240969941397,0.048350808626258124,3,0.347,0.463,0.574,0.739,388.7469291910733,267.52931047615465,9.9243,8.9583,90.0757,730.3715917783171,626.0480502382212,30.8645,26.2192,69.1355,85,18,19
BDX,Healthcare,1.061859950850571,0.9948776006266833,11,110,-3.4912451337340342,-2.8881954545454547,-2.5809876033057852,1.6957616015669645,0.01,6,0.347,0.463,0.574,0.739,1958.4235241296644,1764.6475718080462,45.4331,36.0491,54.5669,346.886902833736,262.47222708681613,5.0872,5.3019,94.9128,85,18,19
BEN,Financial ,-1.6573993424624416,0.45318436329575346,1,120,-3.486055829282407,-2.8859430324074076,-2.5797850694444446,1.5701820443993493,0.01,6,0.347,0.463,0.574,0.739,178.86201894732963,120.15148042827133,8.8488,8.002,91.1512,253.79959846605385,232.65556083715896,11.0188,11.7771,88.9812,85,18,19
BK,Financial ,0.1079956203230615,0.9666027713518262,1,121,-3.485585145896754,-2.885738566292665,-2.5796759080663887,1.4429602657034122,0.01,6,0.347,0.463,0.574,0.739,243.0916207262311,175.81387374853048,4.3627,4.4742,95.6373,3377.2865799526444,2046.8671636201107,22.7518,31.1236,77.2482,85,18,19
BLL,Consumer Discretionary,-0.7364240796561519,0.8370879903019197,7,104,-3.4948504603223145,-2.889758398668639,-2.5818220155325444,1.6161455828848785,0.01,6,0.347,0.463,0.574,0.739,909.5721407832596,878.6240767373492,31.0385,37.1756,68.9615,901.294645654059,680.8304406646924,41.0176,26.2898,58.9824,85,18,9
BMY,Healthcare,0.16905929494082822,0.970471844270416,1,120,-3.486055829282407,-2.8859430324074076,-2.5797850694444446,1.0611180521010213,0.01,6,0.347,0.463,0.574,0.739,2917.0615240449806,2180.8299460433323,29.2362,36.4446,70.7638,1889.0001494774167,1814.0238743398222,15.5074,16.9141,84.4926,85,18,19
BSX,Healthcare,2.3942604307642945,0.9990075829303726,1,120,-3.486055829282407,-2.8859430324074076,-2.5797850694444446,1.633494741570166,0.01,6,0.347,0.463,0.574,0.739,344.48047513695417,307.07644774191647,12.3234,13.2133,87.6766,471.05829443806726,359.51007650365364,9.2434,9.8487,90.7566,85,18,19
C,Financial ,-2.5377407117778623,0.10655950531464314,4,118,-3.4870216863700767,-2.8863625166643136,-2.580009026141913,0.44488129653375236,0.05780978597683089,6,0.347,0.463,0.574,0.739,3695.584816362788,3064.6037015686443,12.3979,13.5769,87.6021,15722.098764950377,12482.629290670166,32.4128,42.3274,67.5872,85,18,19
CAG,Consumer Staples,-1.7571185192923773,0.40194921799965566,4,118,-3.4870216863700767,-2.8863625166643136,-2.580009026141913,1.2461440086726747,0.01,6,0.347,0.463,0.574,0.739,431.4071600681461,378.64916038892966,16.9686,16.2018,83.0314,265.46277322736137,220.29137011019137,7.2991,7.5158,92.7009,85,18,19
CAT,Industrials,-0.7298250180679842,0.8388722134960034,10,111,-3.490683082754047,-2.8879516565798817,-2.5808574442009578,1.470711174815494,0.01,6,0.347,0.463,0.574,0.739,3331.1586243973534,2832.2499710250777,22.1693,25.9285,77.8307,3858.389349257507,3461.233150216698,22.0378,25.3723,77.9622,85,18,19
CI,Healthcare,1.6711850874118725,0.998056172463197,0,120,-3.486055829282407,-2.8859430324074076,-2.5797850694444446,1.2373349990405709,0.01,6,0.347,0.463,0.574,0.739,17198.645407713593,11034.650719464807,30.0815,45.3705,69.9185,12386.810491419896,9020.795325349642,15.5328,17.858,84.4672,84,18,19
CL,Consumer Staples,-0.8363642291536398,0.8082063401510128,12,109,-3.49181775886872,-2.8884437992971588,-2.5811201893779985,1.6561838836270972,0.01,6,0.347,0.463,0.574,0.739,488.554288478278,428.93745289499594,10.8565,11.6718,89.1435,353.3285974409969,291.5469174698559,5.9752,6.2422,94.0248,85,18,19
CLX,Consumer Staples,-1.8919851761568698,0.33584087979405186,12,109,-3.49181775886872,-2.8884437992971588,-2.5811201893779985,1.73603108543573,0.01,6,0.347,0.463,0.574,0.739,196.4125064510056,144.11619940680282,8.4771,9.1201,91.5229,254.67354942248443,224.3969238127887,13.0246,11.9635,86.9754,85,18,19
CMA,Financial ,-3.7674955894663507,0.0032579456118786753,7,115,-3.4885349695076844,-2.887019521656941,-2.5803597920604915,0.1927421513517469,0.1,6,0.347,0.463,0.574,0.739,163.48532082218063,140.28081555151022,15.7129,17.5019,84.2871,429.9527564422032,357.6214154783516,29.8341,37.4088,70.1659,85,18,19
CMI,Industrials,1.8691366309287503,0.9984767154985242,11,110,-3.4912451337340342,-2.8881954545454547,-2.5809876033057852,1.712792353177336,0.01,6,0.347,0.463,0.574,0.739,1110.6230395828704,951.1146086705196,17.0038,18.9573,82.9962,2890.7800522752964,2663.688027221308,33.8631,41.7283,66.1369,85,18,19
CNP,Utilities,-3.4000108767520283,0.010958500826350772,1,121,-3.485585145896754,-2.885738566292665,-2.5796759080663887,0.24045065437840105,0.1,5,0.347,0.463,0.574,0.739,701.6907924447889,542.2536234240845,21.5348,25.388,78.4652,677.5927788366846,591.2430414306549,25.353,29.8312,74.647,85,18,19
COP,Energy,-1.6627866788241734,0.45038062694630127,2,119,-3.4865346059036564,-2.8861509858476264,-2.579896092790057,0.31312650941604686,0.1,6,0.347,0.463,0.574,0.739,2597.2505325387115,2303.8692110012084,32.0274,35.8706,67.9726,10958.370674545402,10307.52445188631,69.3129,108.6526,30.6871,85,18,19
COST,Consumer Staples,2.300501951428973,0.9989555014511324,12,110,-3.4912451337340342,-2.8881954545454547,-2.5809876033057852,1.700238646126158,0.01,6,0.347,0.463,0.574,0.739,5989.358880799532,4836.311125334902,12.3074,13.4672,87.6926,8550.826730915378,7998.9698073059,13.3662,14.4125,86.6338,85,18,19
CPB,Consumer Staples,0.4994724680265557,0.9848570535746435,12,110,-3.4912451337340342,-2.8881954545454547,-2.5809876033057852,2.1177969805885897,0.01,3,0.347,0.463,0.574,0.739,251.6715955443177,138.87079584009777,8.6009,8.0078,91.3991,397.46828577888067,332.0075340442703,13.837,15.2586,86.163,85,18,19
CSCO,Information Technology,-1.9088058998927349,0.32792994474956283,5,117,-3.487517288664615,-2.8865777180380032,-2.5801239192052012,1.7646428422210718,0.01,6,0.347,0.463,0.574,0.739,541.55138478274,468.31600308445144,3.7191,3.7735,96.2809,1482.31017478453,1252.9240463577096,9.0352,9.6151,90.9648,85,18,19
CSX,Industrials,-0.3223854869442158,0.9222734957398152,0,122,-3.4851223522012855,-2.88553750045158,-2.5795685622144586,1.2525471250989046,0.01,6,0.347,0.463,0.574,0.739,297.9280862790162,252.64874544238307,8.6664,9.0379,91.3336,828.2345300560331,766.7402300914163,21.2578,24.2042,78.7422,85,18,19
CVS,Healthcare,3.655697125422805,1.0,5,116,-3.4880216384691867,-2.8867966864160075,-2.5802408234244947,1.6943150422250188,0.01,6,0.347,0.463,0.574,0.739,7170.701224043678,5478.664469172724,9.0817,9.6615,90.9183,3281.284727912756,2657.243776015998,3.0082,3.0676,96.9918,85,18,19
CVX,Energy,-2.036002991996279,0.2710134775100606,8,113,-3.489589552580676,-2.887477210140433,-2.580604145195395,0.7927322492255787,0.01,5,0.347,0.463,0.574,0.739,9786.32526235028,8519.83413786047,25.2872,28.6891,74.7128,26338.549349213572,24419.937352966692,49.0031,67.1611,50.9969,85,18,19
D,Utilities,-2.2023761249291063,0.2053841911862498,7,114,-3.489057523907491,-2.887246327182993,-2.5804808802708528,0.9123747350176736,0.01,6,0.347,0.463,0.574,0.739,827.0484409218302,718.0991323967773,20.0456,22.8206,79.9544,540.1496228857333,416.5945549316265,10.5311,11.3202,89.4689,85,18,19
DE,Industrials,0.27464521914141093,0.9761508478047214,13,109,-3.49181775886872,-2.8884437992971588,-2.5811201893779985,1.6072473278850505,0.01,6,0.347,0.463,0.574,0.739,2152.5552194484267,1799.0279170687015,19.9853,22.9979,80.0147,4903.93603165713,4454.326917597218,34.2675,42.3133,65.7325,85,18,19
DHR,Healthcare,-0.7369566687270117,0.8369433354004969,13,109,-3.49181775886872,-2.8884437992971588,-2.5811201893779985,1.7567177500525488,0.01,6,0.347,0.463,0.574,0.739,2359.5867665365126,2205.5241188397376,47.4524,37.3781,52.5476,1145.2544283072907,1026.6726954060455,15.016,15.5825,84.984,85,18,19
