Sector,RMSE_count,RMSE_mean,RMSE_median,RMSE_std,RMSE_min,RMSE_max,MAE_count,MAE_mean,MAE_median,MAE_std,MAE_min,MAE_max,MAPE (%)_count,MAPE (%)_mean,MAPE (%)_median,MAPE (%)_std,MAPE (%)_min,MAPE (%)_max,sMAPE (%)_count,sMAPE (%)_mean,sMAPE (%)_median,sMAPE (%)_std,sMAPE (%)_min,sMAPE (%)_max,Accuracy (%)_count,Accuracy (%)_mean,Accuracy (%)_median,Accuracy (%)_std,Accuracy (%)_min,Accuracy (%)_max
Communication Services,4,3003.639881174534,1918.4125415412282,3153.0784107772884,679.565854611992,7498.168587003687,4,2819.122299371358,1808.3533182081292,2956.8508749006514,642.2477456676615,7017.534815401513,4,21.719250000000002,23.3839,9.945128384792223,8.1206,31.9886,4,25.367350000000002,27.066850000000002,12.555826171277351,8.4924,38.8433,4,78.28075,76.6161,9.945128384792229,68.0114,91.8794
Consumer Discretionary,12,3498.013586183548,1663.7223172518436,3284.3493173432958,272.80056208474156,9137.178464154229,12,3008.8354338268596,1520.0435557618887,2815.760641388613,228.2552345816839,7544.5845294337,12,28.129925,27.58895,14.326126205904373,9.2026,57.5493,12,30.625633333333337,26.18235,21.598165192034813,8.7576,85.6785,12,71.870075,72.41104999999999,14.326126205904368,42.4507,90.7974
Consumer Staples,19,2773.943904508774,523.9807980171571,3308.3100248578135,237.57626066678895,9950.558478752264,19,2472.9114308168496,401.2715742836709,3052.7310646012515,209.42949291618248,9313.728607809519,19,13.743173684210525,8.9446,11.78341509749294,1.9371,49.153,19,15.683147368421054,9.3529,15.931277370226029,1.9504,67.6188,19,86.25682631578947,91.0554,11.783415097492941,50.847,98.0629
Energy,9,9715.64283591123,3279.486056068173,13271.572809378285,741.5046639937198,37555.52557717547,9,9005.847745906249,2984.005766165851,12282.579301852711,679.3198245729269,34711.56993109819,9,45.444633333333336,47.905,12.227228230674356,24.4252,69.3129,9,62.07185555555556,64.5312,22.040298969847882,28.3606,108.6526,9,54.555366666666664,52.095,12.227228230674356,30.6871,75.5748
Financial ,22,4820.368953365378,1793.710956912703,6727.186462659967,185.6096420890807,24250.787814348005,22,3834.8861941211258,1429.6735278849314,5357.87046754143,166.70948929520145,18847.937176559633,22,48.807959090909094,26.405050000000003,111.93738905751717,10.5417,548.0084,22,29.820531818181816,29.818849999999998,14.442800572352612,10.8489,59.8018,22,51.192040909090906,73.59495,111.93738905751715,-448.0084,89.4583
Healthcare,18,2934.420926838005,1772.1173344665244,3232.4662987885963,285.9473548807182,12386.810491419896,18,2432.0069836587654,1650.8779627336608,2510.4178680993605,262.47222708681613,9020.795325349642,18,15.511333333333333,13.757200000000001,11.028034882596478,1.9351,39.2725,18,17.56001666666667,14.38735,14.22211123854228,1.9476,51.2357,18,84.48866666666667,86.24279999999999,11.028034882596478,60.7275,98.0649
Industrials,32,1655.181299890275,1010.9288263347119,1527.9129027490958,206.48030826541986,4980.086579335933,32,1459.6795067819326,825.2952070529939,1359.6835672159705,171.58406005216676,4611.138100089813,32,19.78749375,17.69145,12.371925427247735,5.1031,74.2942,32,23.48870625,19.83545,21.02438163714871,4.9315,126.921,32,80.21250625,82.30855,12.371925427247733,25.7058,94.8969
Information Technology,14,4111.749804208998,2043.9332250504658,6511.224673905662,427.74757822154135,25998.34997073572,14,3618.589551756641,1698.6881735782142,5956.716646170193,376.51333140490954,23711.893462096967,14,23.26599285714286,20.76945,14.380119361945198,6.8653,56.012,14,24.906928571428573,21.43235,18.58208608631229,7.2192,80.3998,14,76.73400714285715,79.23055,14.380119361945194,43.988,93.1347
Materials,9,1115.7032488222894,789.1451076475937,973.6363800631867,414.09520119891425,3560.4575898335033,9,1008.7976990270513,701.8989588031076,901.3804481603372,363.0683494441045,3237.4685576140446,9,21.828322222222223,16.5879,14.109477708687324,5.2989,52.359,9,26.075599999999998,18.4287,20.364126037532277,5.3349,72.3171,9,78.17167777777779,83.4121,14.109477708687322,47.641,94.7011
Real Estate,1,498.41000931909537,498.41000931909537,,498.41000931909537,498.41000931909537,1,355.5579438198882,355.5579438198882,,355.5579438198882,355.5579438198882,1,14.8693,14.8693,,14.8693,14.8693,1,15.9924,15.9924,,15.9924,15.9924,1,85.1307,85.1307,,85.1307,85.1307
Utilities,16,996.4463761803154,779.3135454833858,716.9386448232148,251.0299210485786,3055.235376133085,16,875.8141830126267,689.2092438860986,691.4508629105112,203.82167584072604,2940.865247083864,16,21.55004375,19.2782,10.895419392201399,10.5311,56.6581,16,23.306,21.95455,8.786398273923167,11.3202,43.1227,16,78.44995625,80.7218,10.895419392201404,43.3419,89.4689
