,count,mean,median,std,min,max
RMSE,156.0,3141.1366413327587,1188.1329318068188,5192.2412737702025,185.6096420890807,37555.52557717547
MAE,156.0,2720.3964447659414,1057.2825300244435,4589.929869283174,166.70948929520145,34711.56993109819
MAPE (%),156.0,25.401191025641026,19.552349999999997,44.282376087365584,1.9351,548.0084
sMAPE (%),156.0,25.779742948717946,21.412550000000003,19.767528877736424,1.9476,126.921
Accuracy (%),156.0,74.59880897435897,80.44765000000001,44.28237608736558,-448.0084,98.0649
