Ticker,Sector,ADF Statistic,ADF p-value,ADF Lags Used,ADF Observations Used,ADF CV 1%,ADF CV 5%,ADF CV 10%,KPSS Statistic,KPSS p-value,KPSS Lags Used,KPSS CV 10%,KPSS CV 5%,KPSS CV 2.5%,KPSS CV 1%,Val RMSE,Val MAE,Val MAPE (%),Val sMAPE (%),Val Accuracy (%),RMSE,MAE,MAPE (%),sMAPE (%),Accuracy (%),Train N,Val N,Test N
AAPL,Information Technology,1.1744354155964434,0.9958044082410052,6,113,-3.489589552580676,-2.887477210140433,-2.580604145195395,1.6590401884757853,0.01,6,0.347,0.463,0.574,0.739,15991.570575255659,11477.54183672455,16.6243,18.0919,83.3757,36553.650483024576,33712.13575973115,33.3878,40.771,66.6122,84,17,19
ABT,Healthcare,-1.3000699241079818,0.6291403227093825,4,117,-3.487517288664615,-2.8865777180380032,-2.5801239192052012,1.340482256527012,0.01,6,0.347,0.463,0.574,0.739,2386.83583190713,2145.666459367655,28.1075,33.7946,71.8925,1776.355504651361,1688.6467810846432,15.7415,17.2034,84.2585,85,18,19
ADM,Consumer Staples,-1.513447194747873,0.5268490265733493,4,116,-3.4880216384691867,-2.8867966864160075,-2.5802408234244947,1.489194080887477,0.01,6,0.347,0.463,0.574,0.739,1282.0655972989907,1115.434865888604,6.9147,7.2388,93.0853,7399.165353227251,7019.519387204739,30.575,36.5306,69.425,84,18,19
ADP,Industrials,1.757424566795301,0.9982607298389934,12,109,-3.49181775886872,-2.8884437992971588,-2.5811201893779985,1.7331486323464873,0.01,6,0.347,0.463,0.574,0.739,535.6353480840713,452.84898228889404,12.7817,13.9407,87.2183,1114.6599395106323,988.9172182189815,20.8723,23.8695,79.1277,85,18,19
ADSK,Information Technology,1.9849888955612216,0.9986531255202751,13,109,-3.49181775886872,-2.8884437992971588,-2.5811201893779985,1.5391480105129396,0.01,6,0.347,0.463,0.574,0.739,153.87365296033525,139.7476974010083,22.2484,21.3549,77.7516,403.46421520252403,351.6754289703155,25.4652,30.1548,74.5348,85,18,19
AEE,Utilities,-1.3265766684600506,0.616927464874951,7,103,-3.4954932834550623,-2.8900369024285117,-2.5819706975209726,0.9327381907056318,0.01,5,0.347,0.463,0.574,0.739,160.9573347093089,128.09984757264507,8.0002,8.3516,91.9998,446.9013315000078,375.9417711055418,18.8981,21.5556,81.1019,74,18,19
AEP,Utilities,-4.001501560434186,0.0014026690192578092,0,121,-3.485585145896754,-2.885738566292665,-2.5796759080663887,0.11083591543563516,0.1,5,0.347,0.463,0.574,0.739,296.5002536091366,239.871129104735,6.174,6.0801,93.826,982.509607381649,858.4160122394485,17.2957,19.3336,82.7043,85,18,19
AIG,Financial ,-2.635756316928787,0.0858300231814807,2,119,-3.4865346059036564,-2.8861509858476264,-2.579896092790057,0.3209076389299198,0.1,5,0.347,0.463,0.574,0.739,1910.1689294117057,1661.3177068760954,13.0449,14.0146,86.9551,3096.2770068541595,2747.406023073356,31.3204,26.8534,68.6796,85,18,19
ALL,Financial ,2.5909636493115666,0.9990734290411671,4,117,-3.487517288664615,-2.8865777180380032,-2.5801239192052012,1.4506555451994387,0.01,6,0.347,0.463,0.574,0.739,1453.0607664002061,1279.8449700203932,12.2423,13.248,87.7577,3881.0596397599097,3532.444898152769,24.0543,27.8667,75.9457,85,18,19
AMAT,Information Technology,0.7388640446327687,0.9905823958150047,5,117,-3.487517288664615,-2.8865777180380032,-2.5801239192052012,1.4650596778627334,0.01,6,0.347,0.463,0.574,0.739,1624.6738430694502,1532.10655726185,39.4202,50.0409,60.5798,1818.1157604014395,1709.7413306891096,25.9246,30.2751,74.0754,85,18,19
