Sector,RMSE_count,RMSE_mean,RMSE_median,RMSE_std,RMSE_min,RMSE_max,MAE_count,MAE_mean,MAE_median,MAE_std,MAE_min,MAE_max,MAPE (%)_count,MAPE (%)_mean,MAPE (%)_median,MAPE (%)_std,MAPE (%)_min,MAPE (%)_max,sMAPE (%)_count,sMAPE (%)_mean,sMAPE (%)_median,sMAPE (%)_std,sMAPE (%)_min,sMAPE (%)_max,Accuracy (%)_count,Accuracy (%)_mean,Accuracy (%)_median,Accuracy (%)_std,Accuracy (%)_min,Accuracy (%)_max
Communication Services,4,2674.9140106966024,1563.8463138845023,3169.3422093901922,417.2023489550629,7154.761066062342,4,2493.8016316707003,1470.9380244581907,2957.8138763158995,367.632135744182,6665.698342022238,4,15.698550000000001,12.543099999999999,10.296823852528508,7.4141,30.2939,4,17.831125,13.57835,12.986442205206421,7.7329,36.4349,4,84.30145,87.45689999999999,10.2968238525285,69.7061,92.5859
Consumer Discretionary,12,2971.2850211778255,1300.3687217301467,3254.74035167731,380.47671689704475,11360.346041383094,12,2665.7518287694643,1180.9070997097483,3002.226348545599,290.06860868394676,10346.887742233177,12,26.282741666666666,21.5511,16.095484572979316,9.2873,65.5163,12,26.165366666666667,22.85255,14.375311454164825,9.069,57.4111,12,73.71725833333333,78.44890000000001,16.095484572979313,34.4837,90.7127
Consumer Staples,19,4515.600683001532,697.5272006820516,6915.877570912064,139.69792419969434,25821.816594310116,19,3932.9704393431202,610.0076651104386,6079.098605418329,96.6057837655479,23004.066376410396,19,14.939742105263157,12.6173,9.294216805167716,4.5063,35.02,19,16.950957894736842,12.8231,11.655981850025706,4.6234,43.6689,19,85.06025789473684,87.3827,9.294216805167716,64.98,95.4937
Energy,9,9437.94465132769,3095.114057500413,13111.711865939606,803.9877865939023,37994.449191219835,9,8735.01321706513,2741.358790446141,12145.469092142688,749.118705242007,35177.39643038993,9,43.99451111111111,42.3717,11.726827966829354,27.0819,68.0873,9,59.35446666666667,54.9062,21.04770212576661,31.8229,105.3124,9,56.00548888888889,57.6283,11.726827966829354,31.9127,72.9181
Financial ,22,4646.263711341207,1723.9335072707063,6414.218418904335,148.8176482105525,24569.396782413092,22,3683.5809618864437,1448.2676678683729,5041.573102538636,124.06036543845924,19100.69713731681,22,47.8365090909091,26.58045,111.47456161713015,7.379,545.3223,22,28.80252272727273,30.149350000000002,12.888280734946466,7.1659,53.9622,22,52.16349090909091,73.41955,111.47456161713012,-445.3223,92.621
Healthcare,18,4125.7586954668795,1605.28541668877,5418.401686437594,293.5031674055655,19823.50786269411,18,3512.1449347944144,1513.2765184172483,4632.629766763892,288.2999032225532,17475.673342824593,18,16.872855555555557,14.5454,10.283075068870504,4.8506,38.0839,18,19.010938888888887,15.61065,12.619290244660627,4.6832,49.4278,18,83.12714444444445,85.4546,10.283075068870508,61.9161,95.1494
Industrials,32,1734.537709591231,1179.6352323894753,1601.4189542022661,212.9533778560106,5962.112093144477,32,1529.9427094788273,1027.7003812617982,1407.682601332982,170.3696020764874,5088.6319977260055,32,20.23928125,19.0017,11.027048098182808,6.7348,62.0198,32,23.075890625,21.34855,15.377297443547375,7.0385,94.3751,32,79.76071875,80.9983,11.027048098182808,37.9802,93.2652
Information Technology,14,5878.436840085735,1889.3353331584065,10119.774095745233,403.46421520252403,36553.650483024576,14,5242.695866102326,1684.5357516845702,9275.347130640535,351.6754289703155,33712.13575973115,14,24.490028571428574,25.6949,11.551388726131496,7.572,46.404,14,25.962192857142856,23.92935,14.029163279039313,7.8702,62.4574,14,75.50997142857143,74.30510000000001,11.551388726131496,53.596,92.428
Materials,9,1200.0089668062708,837.2482614737454,1006.1672819955234,377.74665741097766,3694.8116748279604,9,1069.828953312645,768.5332439999648,939.726597960957,323.9708257263269,3376.957065506402,9,22.1695,18.0431,14.356112562163197,8.2343,53.7195,9,26.844044444444442,19.9881,21.078907808821064,8.43,75.0599,9,77.8305,81.9569,14.356112562163196,46.2805,91.7657
Real Estate,1,493.9256342073864,493.9256342073864,,493.9256342073864,493.9256342073864,1,340.0316258553924,340.0316258553924,,340.0316258553924,340.0316258553924,1,13.8644,13.8644,,13.8644,13.8644,1,15.1823,15.1823,,15.1823,15.1823,1,86.1356,86.1356,,86.1356,86.1356
Utilities,16,967.446500366996,734.2197055975114,681.3174708455656,351.8877227701303,3056.4594837040013,16,821.9707202381866,597.6539751185662,658.6421428045026,266.4567037719893,2913.056462653799,16,20.167375,18.88465,10.632872496273055,10.0672,56.4794,16,21.4744875,21.49375,7.765320797827136,10.7928,42.762,16,79.83262500000001,81.11535,10.632872496273054,43.5206,89.9328
