Sector,RMSE_count,RMSE_mean,RMSE_median,RMSE_std,RMSE_min,RMSE_max,MAE_count,MAE_mean,MAE_median,MAE_std,MAE_min,MAE_max,MAPE (%)_count,MAPE (%)_mean,MAPE (%)_median,MAPE (%)_std,MAPE (%)_min,MAPE (%)_max,sMAPE (%)_count,sMAPE (%)_mean,sMAPE (%)_median,sMAPE (%)_std,sMAPE (%)_min,sMAPE (%)_max,Accuracy (%)_count,Accuracy (%)_mean,Accuracy (%)_median,Accuracy (%)_std,Accuracy (%)_min,Accuracy (%)_max
Communication Services,4,2124.9241084349046,2313.8059315333903,1704.7334358451772,232.4712828672482,3639.6132878055905,4,1854.7222476665052,2000.9103215818704,1493.4898262594027,182.72653019163798,3234.341817310642,4,14.813425,12.66615,8.794448930385954,7.3758,26.5456,4,16.0798,12.80505,11.006942513099023,7.1896,31.5195,4,85.186575,87.33385000000001,8.794448930385952,73.4544,92.6242
Consumer Discretionary,12,3146.2684758319688,1732.6200869527966,3483.727832471229,290.4795143507447,11312.306572567339,12,2811.3419284177176,1575.1472790721036,3169.297301703394,245.13088942633073,10613.915362564194,12,24.58790833333333,20.3258,10.336105622917467,13.6395,48.3347,12,25.30666666666667,20.786299999999997,11.49643139866639,14.2655,55.0499,12,75.41209166666667,79.6742,10.336105622917465,51.6653,86.3605
Consumer Staples,19,5456.380044942424,1027.2977788332653,8920.677158516732,260.6297272285374,29718.846968983085,19,4811.8415438866,888.3956832743728,7746.17113902781,185.95719000271038,25729.822312060434,19,19.128305263157895,16.8403,8.992203027220222,5.2227,37.9124,19,21.99417894736842,18.5133,11.809234680705462,5.484,48.5551,19,80.87169473684212,83.1597,8.992203027220219,62.0876,94.7773
Energy,9,6496.024268427554,2349.213915669692,8810.911819101142,357.94104494281436,25549.980996329254,9,5889.319117658718,2107.6796390097143,8024.63779415785,268.7677022163657,23248.476063254544,9,33.46388888888889,30.5306,7.867315601659256,25.8136,48.3112,9,37.32262222222222,33.4128,12.148781935731025,19.916,56.5182,9,66.53611111111111,69.4694,7.867315601659254,51.6888,74.1864
Financial ,22,5584.524768318862,1804.8075991173996,7956.864716863169,250.13310205849038,32098.901076855993,22,4556.8738318392825,1475.0323195563947,6445.260363990219,220.62329248257024,25784.222575977554,22,45.8254,31.0663,75.89111781185815,8.5095,383.2319,22,35.94844545454546,34.09565,13.457752191518153,8.981,62.6508,22,54.174600000000005,68.93369999999999,75.89111781185815,-283.2319,91.4905
Healthcare,18,7727.576560344537,3134.238375459472,10210.414491760748,312.4031641841558,33082.25960220465,18,6719.626810434623,2855.8940804307103,8887.331533638497,195.29125130353557,27838.93953816988,18,26.575377777777778,25.49295,13.407104245162472,6.8714,50.1074,18,33.13848333333333,31.04095,18.846738234638906,6.8096,68.2331,18,73.42462222222223,74.50704999999999,13.407104245162472,49.8926,93.1286
Industrials,32,2124.0654629822984,1165.0903081643653,2103.9465671382,79.95914773333496,7982.405864854901,32,1866.4316615400705,1007.460187173067,1880.1696032864031,72.07950926172364,7284.055981776848,32,23.07166875,21.005,11.458254425309335,3.6653,61.7779,32,25.171034375,23.9825,10.512483735697113,3.621,47.6493,32,76.92833125,78.995,11.458254425309335,38.2221,96.3347
Information Technology,14,6717.144645320799,3688.9555899290976,10866.208743530009,528.9017669022162,42847.453003476156,14,6092.242983199636,3189.2191271656716,10417.349544994662,446.1656011374867,41137.70731315003,14,34.761964285714285,35.96455,16.85756883583099,6.6052,66.4871,14,43.49505,35.3458,28.152124014628093,6.541,105.56,14,65.23803571428572,64.03545,16.85756883583099,33.5129,93.3948
Materials,9,1416.678257822959,1145.4874178048112,1088.9571333822898,243.920398891275,3981.1282342344907,9,1257.3249812766096,1021.5265974467237,1015.828734234497,178.7254056710843,3696.354647322196,9,25.11261111111111,21.7176,13.962843630278579,7.2111,50.9065,9,31.061944444444446,25.1295,20.756876674858333,7.5147,71.9029,9,74.88738888888889,78.2824,13.962843630278579,49.0935,92.7889
Real Estate,1,570.6005700090086,570.6005700090086,,570.6005700090086,570.6005700090086,1,400.9430543572553,400.9430543572553,,400.9430543572553,400.9430543572553,1,17.018,17.018,,17.018,17.018,1,19.1349,19.1349,,19.1349,19.1349,1,82.982,82.982,,82.982,82.982
Utilities,16,1088.7074266839961,995.0779849481528,684.539352105123,384.1000865693957,2640.7995031878727,16,932.7127206089666,823.3422978392624,609.4322620232437,319.5239672798209,2378.816381254945,16,23.25455,24.29505,7.990017135317463,12.4089,36.3761,16,26.15075625,25.93015,10.965614631441852,12.3236,46.3881,16,76.74545,75.70495,7.990017135317461,63.6239,87.5911
