,count,mean,median,std,min,max
RMSE,156.0,3976.434835298894,1468.7859539046372,6570.357187345174,177.30579893471776,39616.0214193901
MAE,156.0,3493.171241827669,1268.314458035643,5845.312146355267,146.1871417820137,36767.87873865737
MAPE (%),156.0,28.220139743589744,23.2303,42.32047802135156,4.5848,528.3487
sMAPE (%),156.0,29.36926217948718,25.8309,17.630410973653316,4.7702,103.3618
Accuracy (%),156.0,71.77986025641026,76.7697,42.32047802135156,-428.3487,95.4152
