ticker,Year_Quarter,year,quarter,Q1,Q2,Q3,Q4,revenue,grossProfit,costOfRevenue,operatingExpenses,snaExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,rnd,net_plus_rnd,totalAssets,totalEquity,totalAssets_lag1,totalEquity_lag1,rnd_to_rev_ratio,sna_to_rev_ratio,grossProfitRatio,operatingIncomeRatio,netIncomeRatio,rnd_lag1,rnd_lag2,rnd_lag3,rnd_lag4,rnd_lag5,rnd_lag6,rnd_lag7,rnd_lag8,rnd_lag9,rnd_lag10,rnd_lag11,rnd_lag12,rnd_to_rev_ratio_lag1,rnd_to_rev_ratio_lag2,rnd_to_rev_ratio_lag3,rnd_to_rev_ratio_lag4,rnd_to_rev_ratio_lag5,rnd_to_rev_ratio_lag6,rnd_to_rev_ratio_lag7,rnd_to_rev_ratio_lag8,rnd_to_rev_ratio_lag9,rnd_to_rev_ratio_lag10,rnd_to_rev_ratio_lag11,rnd_to_rev_ratio_lag12,revenue_yoy,netIncome_yoy,grossProfit_yoy,rnd_yoy,ebitda_yoy,operatingIncome_yoy,incomeBeforeTax_yoy,costOfRevenue_yoy,snaExpenses_yoy,operatingExpenses_yoy,rnd_to_rev_ratio_yoy,sna_to_rev_ratio_yoy,grossProfitRatio_yoy,operatingIncomeRatio_yoy,netIncomeRatio_yoy,net_plus_rnd_yoy,gics_sectors,gics_sector_code,quarter_int,time_idx,revenue_log,revenue_lag1,revenue_lag4,totalAssets_log,totalEquity_log,totalAssets_lag1_log,totalEquity_lag1_log
PKI,1995Q2,1995,Q2,0,1,0,0,342.3,100.7,241.6,80.2,70.3,30.6,20.5,20.2,16.3,0.0,16.3,790.1,442.0,809.8,436.9,0.0,0.2053754016944201,0.2941863862109261,0.0598889862693543,0.0476190476190476,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Healthcare,35.0,2.0,1,5.838604700463646,338.2,,6.673424382027351,6.093569770045136,6.698021414577845,6.081990573807353
PKI,1995Q3,1995,Q3,0,0,1,0,361.6,97.2,264.4,78.0,68.5,27.5,19.2,20.3,16.0,0.0,16.0,786.0,360.0,790.1,442.0,0.0,0.1894358407079646,0.2688053097345133,0.0530973451327433,0.0442477876106194,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Healthcare,35.0,3.0,2,5.89330029832075,342.3,,6.668228248417403,5.8888779583328805,6.673424382027351,6.093569770045136
PKI,1995Q4,1995,Q4,0,0,0,1,377.5,115.4,262.1,87.9,76.6,36.3,27.5,30.0,21.9,0.0,21.9,803.9,366.9,786.0,360.0,0.0,0.2029139072847681,0.3056953642384106,0.0728476821192053,0.0580132450331125,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,Healthcare,35.0,4.0,3,5.936216072877503,361.6,,6.690718046099688,5.907811162110729,6.668228248417403,5.8888779583328805
PKI,1996Q1,1996,Q1,1,0,0,0,346.8,99.5,247.3,79.6,70.5,30.9,19.9,18.0,12.8,0.0,12.8,825.8,363.4,803.9,366.9,0.0,0.2032871972318339,0.2869088811995386,0.0573817762399077,0.0369088811995386,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0254287403903017,-0.0656934306569342,0.0607675906183369,,0.3434782608695652,0.2675159235668789,0.1612903225806452,0.0118657937806874,0.0158501440922189,0.0192061459667094,,-0.0093410647866538,0.0344625119582511,0.2360838677921521,-0.0888625093661336,-0.0656934306569342,Healthcare,35.0,1.0,4,5.851627601920183,377.5,338.2,6.717562827807613,5.898252165385803,6.690718046099688,5.907811162110729
PKI,1996Q2,1996,Q2,0,1,0,0,355.9,105.0,250.9,83.6,74.4,31.7,21.4,20.3,15.6,0.0,15.6,837.4,366.3,825.8,363.4,0.0,0.2090474852486653,0.2950266928912616,0.0601292497892666,0.0438325372295588,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.039731229915279,-0.0429447852760737,0.0427010923535253,,0.0359477124183005,0.0439024390243902,0.0049504950495049,0.0384933774834437,0.0583214793741111,0.0423940149625934,,0.0178798606062327,0.0028563751408028,0.00401181477395,-0.0795167181792636,-0.0429447852760737,Healthcare,35.0,2.0,5,5.877455630496114,346.8,342.3,6.731495313566778,5.906178952825622,6.717562827807613,5.898252165385803
PKI,1996Q3,1996,Q3,0,0,1,0,354.7,103.4,251.3,80.2,68.7,37.0,23.2,20.9,15.6,0.0,15.6,837.0,377.8,837.4,366.3,0.0,0.1936848040597688,0.2915139554553144,0.0654073865238229,0.0439808288694671,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,-0.0190818584070797,-0.025,0.0637860082304526,,0.3454545454545454,0.2083333333333332,0.0295566502463053,-0.0495461422087745,0.0029197080291971,0.0282051282051283,,0.0224295642045608,0.0844799001300584,0.2318391128653325,-0.0060332675500421,-0.025,Healthcare,35.0,3.0,6,5.874087678954409,355.9,361.6,6.731018100482083,5.937008361311923,6.731495313566778,5.906178952825622
PKI,1996Q4,1996,Q4,0,0,0,1,369.9,111.6,258.3,88.4,77.3,36.4,23.2,21.1,16.2,0.0,16.2,822.9,365.1,837.0,377.8,0.0,0.2089753987564206,0.3017031630170316,0.0627196539605298,0.0437956204379562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,-0.0201324503311258,-0.2602739726027396,-0.0329289428076257,,0.0027548209366392,-0.1563636363636363,-0.2966666666666666,-0.0144982830980542,0.0091383812010443,0.005688282138794,,0.0298722327747886,-0.0130594104078903,-0.1390302047236352,-0.2450754924507548,-0.2602739726027396,Healthcare,35.0,4.0,7,5.915932484495545,354.7,377.5,6.714049163321544,5.902906520126191,6.731018100482083,5.937008361311923
PKI,1997Q1,1997,Q1,1,0,0,0,347.0,98.1,248.9,81.7,59.7,29.3,16.4,14.5,10.1,11.2,21.3,806.8,350.6,822.9,365.1,0.0322766570605187,0.1720461095100864,0.2827089337175792,0.0472622478386167,0.0291066282420749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0005767012687427,-0.2109375000000001,-0.014070351758794,,-0.0517799352750808,-0.1758793969849246,-0.1944444444444444,0.0064698746461786,-0.1531914893617021,0.0263819095477388,,-0.1536795634312342,-0.0146386109220454,-0.1763543944506393,-0.2113922910662824,0.6640624999999998,Healthcare,35.0,1.0,8,5.8522024797744745,369.9,346.8,6.694314503129313,5.862494165811022,6.714049163321544,5.902906520126191
PKI,1997Q2,1997,Q2,0,1,0,0,368.7,100.2,268.5,82.2,59.8,59.3,18.0,-12.9,-11.9,11.9,0.0,816.7,324.1,806.8,350.6,0.0322755627881746,0.1621914835909954,0.2717656631407649,0.048820179007323,-0.0322755627881746,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0322766570605187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0359651587524585,-1.7628205128205128,-0.0457142857142857,,0.8706624605678233,-0.1588785046728971,-1.6354679802955665,0.0701474691111996,-0.196236559139785,-0.0167464114832535,,-0.2241404702952251,-0.0788438141733502,-0.1880793594062492,-1.736337999763549,-1.0,Healthcare,35.0,2.0,9,5.912691865942586,347.0,355.9,6.706495521167931,5.784132827309859,6.694314503129313,5.862494165811022
PKI,1997Q3,1997,Q3,0,0,1,0,358.4,103.3,255.1,82.9,60.6,31.3,20.4,21.1,14.6,10.7,25.3,809.3,316.8,816.7,324.1,0.0298549107142857,0.1690848214285714,0.2882254464285714,0.0569196428571428,0.0407366071428571,11.9,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0322755627881746,0.0322766570605187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.010431350436989,-0.0641025641025641,-0.0009671179883946,,-0.154054054054054,-0.1206896551724138,0.0095693779904306,0.0151213688818145,-0.1179039301310044,0.0336658354114713,,-0.1270103906737367,-0.0112807945046974,-0.1297673568349754,-0.0737644516941392,0.6217948717948716,Healthcare,35.0,3.0,10,5.884435974349459,368.7,354.7,6.69740454946668,5.761422254102616,6.706495521167931,5.784132827309859
