Ticker,Sector,RMSE,MAE,NRMSE,MAPE (%),MdAPE (%),sMAPE (%),Accuracy (%)
MMM,Industrials,3051.9763855247597,2621.50773732529,0.48108076694904744,40.98662734669714,58.165643211987295,31.847121950573975,59.01337265330286
ABT,Healthcare,5350.864575702635,4547.553397702477,0.514011966926286,43.24970900494572,46.87587583974933,33.52940470638751,56.75029099505428
MO,Consumer Staples,166.06446677211775,129.755685622637,0.03146948394392983,2.503229865994377,1.6580789276917485,2.460057875719784,97.49677013400563
AEP,Utilities,841.0413648206429,757.5717442053906,0.17878520573543716,15.217712387301862,17.33352091075895,16.74003668781578,84.78228761269814
ADM,Consumer Staples,3620.2808825839825,3131.398175145503,0.1579115799783643,13.941688411002476,10.711289375689155,13.330261458823998,86.05831158899753
BA,Industrials,8745.213024159844,7781.812994762487,0.5144848231650688,42.13876580356132,43.96601374203049,56.571378525743796,57.86123419643868
BMY,Healthcare,3197.441892382268,2658.261550632321,0.2745056569696315,22.77983706496459,27.359019650783317,19.62451592871556,77.2201629350354
CPB,Consumer Staples,337.133205631529,294.56387260965795,0.14525342767407537,12.68721044440987,12.10120262408387,13.861182606864258,87.31278955559013
CAT,Industrials,1101.4230722763286,995.2118849986774,0.06943784341673989,6.580083866465413,5.571132649658682,6.563116994062371,93.41991613353458
CVX,Energy,23746.574332406388,22696.77852030385,0.48619168609816127,44.74451167295084,46.32309960415077,58.49679661437756,55.25548832704916
CMS,Utilities,299.69936454402875,266.58163876995144,0.1536919818174506,13.295068150267467,11.122882374117914,14.469895209385712,86.70493184973253
KO,Consumer Staples,1310.07100154815,1213.828034553425,0.11593548686266807,10.536927881404802,11.960903634924932,11.2110718209531,89.46307211859519
CL,Consumer Staples,197.6779499533272,162.5210688298773,0.040995012433290595,3.3676457797312493,3.2925327945474177,3.442867914009474,96.63235422026875
COP,Energy,10589.443443371487,10128.131548089663,0.7425456450018577,65.96179582878612,67.86243380149625,100.07002762038356,34.03820417121388
ED,Utilities,704.0566490706383,628.6468486420412,0.19189333580557047,16.008792598926394,17.015969418901697,17.680173471857003,83.99120740107361
CSX,Industrials,594.5936459377197,545.9168538945395,0.161574360309163,14.587125463616463,14.059222282511866,15.90010493837702,85.41287453638354
CVS,Healthcare,14265.78049578625,13099.74988088185,0.16131009075145303,14.672348415159,14.5861022095224,16.010752646323656,85.32765158484099
DE,Industrials,2925.559588982096,2229.536032044636,0.23357761189477833,18.80287403759125,11.055722362930073,16.4890770701901,81.19712596240875
DTE,Utilities,893.6732454711282,654.0019863272923,0.2600911657366495,15.77240152117847,12.453676549415594,17.33757947007584,84.22759847882153
ETN,Industrials,1796.5244904322044,1585.2642487416751,0.3062605677518246,26.477360111108222,29.54489288197023,31.598403222510303,73.52263988889177
EIX,Utilities,744.8755049284912,675.3268466449505,0.1858471818683862,15.821189752528378,17.70304595171026,17.507752154612202,84.17881024747162
ETR,Utilities,285.4351015804462,207.3794907445056,0.09663907394331232,6.349667203922994,5.1353734626907945,6.475891261240779,93.65033279607701
EXC,Utilities,1785.5018740294493,1472.714978707493,0.3326815491018165,24.7587407690662,21.85270337436667,28.718895461460953,75.24125923093379
XOM,Energy,32568.666459968637,30711.97682054403,0.39869584834943494,34.98242904044109,36.26555267322394,43.08854177896786,65.01757095955891
F,Consumer Discretionary,12834.073257551856,10702.721106517954,0.30002275188890914,23.955787275180594,24.65379591449877,28.73984308829087,76.0442127248194
GE,Industrials,3862.2513067589016,3338.1783487554962,0.3160339830422145,31.02535059902088,23.414364645328813,25.32177300203412,68.97464940097912
GD,Industrials,746.0884202263962,635.0000806567391,0.07057879294545417,5.788779417358576,4.70041859290864,5.7967085742501,94.21122058264143
GIS,Consumer Staples,1101.5272861820265,1045.877161611996,0.22520593845723477,21.336279744934554,21.486611176449998,24.207894699044736,78.66372025506544
HAL,Energy,2020.2907672359474,1862.4043499999582,0.3607662084349903,33.41176027278459,40.24276847410353,41.462918219925676,66.58823972721541
HIG,Financial ,1299.1602300554828,922.4136977424425,0.21573567420383294,15.357189132074742,9.283273487789032,17.931758960007112,84.64281086792526
HSY,Consumer Staples,293.6230757261795,245.55100788968065,0.1105046329363657,9.064671953108498,8.385174919103754,9.672538136783091,90.9353280468915
HON,Industrials,1469.4764821630888,1232.183023767449,0.1607039022488066,12.941724128158432,12.272769607577109,14.215838419370156,87.05827587184157
IBM,Information Technology,7290.881574942348,6609.763895660404,0.4942300416853546,59.072910272525704,44.350406471079715,58.18728167253552,40.927089727474296
