Sector,RMSE_count,RMSE_mean,RMSE_median,RMSE_std,RMSE_min,RMSE_max,MAE_count,MAE_mean,MAE_median,MAE_std,MAE_min,MAE_max,MAPE (%)_count,MAPE (%)_mean,MAPE (%)_median,MAPE (%)_std,MAPE (%)_min,MAPE (%)_max,sMAPE (%)_count,sMAPE (%)_mean,sMAPE (%)_median,sMAPE (%)_std,sMAPE (%)_min,sMAPE (%)_max,Accuracy (%)_count,Accuracy (%)_mean,Accuracy (%)_median,Accuracy (%)_std,Accuracy (%)_min,Accuracy (%)_max
Communication Services,4,12779.578571739394,2252.1482522330075,22138.80089743147,684.0674896834571,45929.950292808106,4,10534.750530860661,2021.312333048585,18038.48606744273,564.0030209784145,37532.37443636706,4,56.51365,23.3647,76.04800979387954,9.634,169.6912,4,33.852275,21.3781,33.89202370247558,9.1018,83.5511,4,43.48635,76.6353,76.04800979387954,-69.6912,90.366
Consumer Discretionary,12,3224.7134997013836,1988.2682191026313,3029.153849489018,441.82609338628635,10252.555219996475,12,2726.083203746956,1521.89880948359,2678.2321521378044,339.7424006561157,8808.933364950577,12,52.15501666666666,17.2566,93.7520874463733,8.2462,340.5114,12,31.204808333333332,15.415,32.07137348427888,8.3519,101.6901,12,47.84498333333334,82.74340000000001,93.7520874463733,-240.5114,91.7538
Consumer Staples,19,3148.9968508187585,850.6430149387526,4863.090132965041,187.97952570845578,19274.609024824673,19,2708.7241621211692,707.0870357637051,4244.190245041497,152.46964028980634,17086.419517386577,19,12.794736842105262,10.3828,5.839631642988235,3.4132,27.142,19,13.541747368421053,11.0865,6.796381745897216,3.4815,32.0901,19,87.20526315789475,89.6172,5.839631642988234,72.858,96.5868
Energy,9,5855.984689271544,1691.4984972350903,7287.142938639774,310.5005719519425,20981.623048470614,9,5144.4699039915795,1277.6124732047795,6448.436287743518,227.0750042215568,18432.577523465712,9,32.957788888888885,29.7024,16.202759409853964,8.7178,60.2109,9,38.38746666666667,30.9921,23.068031592118995,8.9341,78.2786,9,67.04221111111111,70.2976,16.20275940985396,39.7891,91.2822
Financial ,22,3450.824244692083,1128.1984485051435,4575.5616323563145,81.53657221598883,15623.145666304908,22,2931.4793718180126,924.5318111247985,3939.8160162563213,70.07041359964248,13323.536863395791,22,41.14590454545454,21.9585,94.85892762184363,5.1658,464.2274,22,23.015663636363637,23.15255,10.60257456943923,5.2531,54.5354,22,58.85409545454545,78.0415,94.85892762184363,-364.2274,94.8342
Healthcare,18,7891.074318553352,2361.4977028669236,17146.69161596995,309.6274381013395,72614.75326522779,18,6402.43553200806,2197.8788881977925,13336.467578592079,246.79717233075928,56389.80507817175,18,23.314744444444443,16.969099999999997,20.75955202892003,3.2906,95.255,18,22.773016666666663,15.9332,16.252618936950004,3.2249,57.9467,18,76.68525555555556,83.0309,20.759552028920034,4.745,96.7094
Industrials,32,1793.0730809922409,957.5379845871857,2314.7631850900557,188.79821255267632,11429.431830131212,32,1566.2390578982681,820.9026150399387,2117.96300050222,143.48482205282738,10635.64687900346,32,19.86655625,13.896049999999999,17.068974827294063,4.2163,84.6838,32,21.395234375,14.6425,22.22165135898755,4.2695,110.1991,32,80.13344375,86.10395,17.06897482729406,15.3162,95.7837
Information Technology,14,5485.5038067253045,2555.7395602408387,9542.14316549788,228.56141372945186,37112.18782984106,14,4918.759494507672,2216.312392382414,9034.643962366292,195.66809719674998,35082.38441158692,14,27.047164285714285,21.36315,19.449308341928145,5.8208,74.5003,14,28.19602142857143,21.41575,20.53151902635325,6.0487,73.6316,14,72.95283571428571,78.63685000000001,19.44930834192814,25.4997,94.1792
Materials,9,935.7666622743503,590.2576085442679,662.1695585754055,272.6453160517097,2067.6805776944293,9,731.9399648761922,469.76357786089244,503.6489805118392,251.00708942579857,1612.8611038713732,9,15.8788,15.5035,6.876045003124979,6.9016,31.0215,9,16.165844444444446,15.4028,9.22458357964075,6.4991,38.2307,9,84.12119999999999,84.4965,6.87604500312498,68.9785,93.0984
Real Estate,1,900.9985929838801,900.9985929838801,,900.9985929838801,900.9985929838801,1,814.4264294799232,814.4264294799232,,814.4264294799232,814.4264294799232,1,37.8154,37.8154,,37.8154,37.8154,1,47.8359,47.8359,,47.8359,47.8359,1,62.1846,62.1846,,62.1846,62.1846
Utilities,16,1164.377483075758,717.1339569005324,1660.404444787885,346.58783499933156,7211.007710037545,16,1013.1671992717991,575.4886352114124,1529.340411680972,261.4926178248073,6563.361081828135,16,27.12205625,16.248199999999997,29.14876480577908,7.5457,122.6503,16,24.53238125,14.93135,21.50853873648692,7.9233,79.259,16,72.87794375,83.7518,29.14876480577908,-22.6503,92.4543
