epoch,train_loss,val_loss,learning_rate
0,2.180624008178711,0.12591715157032013,0.001
1,0.1137445941567421,0.0795738473534584,0.001
2,0.09491092711687088,0.08715217560529709,0.001
3,0.08899469673633575,0.08682163059711456,0.001
4,0.08787111937999725,0.07592018693685532,0.001
5,0.08477429300546646,0.07672441750764847,0.001
6,0.08335239440202713,0.07688338309526443,0.001
7,0.07956084609031677,0.07926640659570694,0.001
8,0.08149347454309464,0.06930642575025558,0.001
9,0.07945773005485535,0.0697125494480133,0.001
10,0.07764392346143723,0.07088810950517654,0.001
11,0.07573674619197845,0.07112973183393478,0.001
12,0.07526176422834396,0.07844962924718857,0.001
13,0.07505630701780319,0.06894068419933319,0.001
14,0.07307040691375732,0.06737294048070908,0.001
15,0.07136828452348709,0.06626491248607635,0.001
16,0.06953862309455872,0.0747336745262146,0.001
17,0.06970039010047913,0.07443791627883911,0.001
18,0.06687795370817184,0.066210076212883,0.001
19,0.06637918949127197,0.06391304731369019,0.001
20,0.06639108061790466,0.06801756471395493,0.001
21,0.06492708623409271,0.06266116350889206,0.001
22,0.06349198520183563,0.06349882483482361,0.001
23,0.06330032646656036,0.06161225587129593,0.001
24,0.06411679834127426,0.06973365694284439,0.001
25,0.0636085495352745,0.06265321373939514,0.001
26,0.06197790428996086,0.06361516565084457,0.001
27,0.06131783872842789,0.0654556155204773,0.001
28,0.060883715748786926,0.06411165744066238,0.001
29,0.058126047253608704,0.06300433725118637,0.0005
30,0.05715366080403328,0.06255194544792175,0.0005
31,0.05687187984585762,0.06359488517045975,0.0005
32,0.05633816495537758,0.06436147540807724,0.0005
33,0.05600952357053757,0.06504413485527039,0.0005
34,0.05518043413758278,0.06494356691837311,0.0005
35,0.05484025552868843,0.06422798335552216,0.0005
36,0.05497979000210762,0.0726260095834732,0.0005
37,0.05405252054333687,0.06421864032745361,0.0005
38,0.051966406404972076,0.06543398648500443,0.00025
39,0.05213918909430504,0.06402310729026794,0.00025
40,0.051786940544843674,0.06431479752063751,0.00025
41,0.051897868514060974,0.06417526304721832,0.00025
42,0.051519352942705154,0.0635867640376091,0.00025
43,0.051396444439888,0.06475275754928589,0.00025
44,0.05104011297225952,0.0646982416510582,0.00025
45,0.05089929699897766,0.06365756690502167,0.00025
46,0.050756700336933136,0.06485572457313538,0.00025
47,0.04994075372815132,0.06504747271537781,0.000125
48,0.04948816075921059,0.06305666267871857,0.000125
49,0.04935444891452789,0.06470311433076859,0.000125
