Metric,count,mean,median,std,min,max,trimmed_mean_5%
RMSE,223,4173.024978805763,1127.0236677750127,11214.204414299898,86.40592689529885,146501.98213805212,2719.822817890824
MAE,223,3576.8525984815114,994.5085006197298,9413.467469961908,68.90377784037652,121665.7353161615,2333.1117806760335
NRMSE,223,0.2913619109113661,0.23014192618960005,0.24488114035193576,0.03504159202193765,1.6654431294447283,0.26019256197199786
MAPE (%),223,24.12928743544863,19.500115279591213,19.704368273884928,2.683211170040082,140.04536211347818,21.741182758370496
MdAPE (%),223,24.48347035965351,19.554468850468346,20.353049896183638,2.5347881296760546,136.34616480235928,22.152419854005696
sMAPE (%),223,25.77148565752007,20.019553957809,21.853805468340987,2.649643763631329,185.89096774293762,23.250825457070462
Accuracy (%),223,76.1239251335114,80.49988472040879,18.48704631531569,0.0,97.31678882995992,78.25881724162952
